2018 Advanced Course Completion Report (District)  - Students with disabilities,,,,,,,,,,
District Name,District Code,#_11_12_student_disabled,# _advanced_students_disabled,%_complete_advanced_disabled,%_ELA_disabled,%_math_disabled,%_science_tech_disabled,%_history_socialscience_disabled,%_arts_disabled,%_other_subjects_disabled
Chelsea,00570000,          79,          24,  30.4,   0.0,  30.4,   1.3,   0.0,   1.3,   1.0
Chicopee,00610000,         170,           7,   4.1,   0.0,   4.1,   0.6,   0.6,   0.0,   0.0
City on a Hill Charter Public School Circuit Street (District),04370000,          11,           5,  45.5,   0.0,  45.5,   0.0,   0.0,   0.0,   9.0
City on a Hill Charter Public School Dudley Square (District),35040000,          23,           9,  39.1,   0.0,  39.1,   4.3,   0.0,   0.0,   0.0
City on a Hill Charter Public School New Bedford (District),35070000,          20,           3,  15.0,   0.0,  10.0,   0.0,   5.0,   0.0,   0.0
Clinton,00640000,          35,           1,   2.9,   0.0,   2.9,   0.0,   0.0,   0.0,   0.0
Codman Academy Charter Public (District),04380000,          16,           5,  31.3,  31.3,  31.3,  31.3,   0.0,   0.0,   0.0
Cohasset,00650000,          32,          21,  65.6,   3.1,  62.5,  12.5,   0.0,   0.0,   0.0
Community Charter School of Cambridge (District),04360000,          25,          15,  60.0,   8.0,  40.0,   8.0,  28.0,   0.0,   4.0
Concord-Carlisle,06400000,         104,          54,  51.9,   0.0,  51.9,   2.9,   0.0,   1.9,   1.0
Danvers,00710000,          69,          16,  23.2,   1.4,  15.9,   7.2,  11.6,   0.0,   1.0
Dartmouth,00720000,          67,          14,  20.9,   0.0,  16.4,   0.0,   3.0,   0.0,   3.0
Dedham,00730000,          49,          13,  26.5,   2.0,  26.5,   2.0,   2.0,   0.0,   0.0
Dennis-Yarmouth,06450000,          81,           4,   4.9,   0.0,   0.0,   0.0,   1.2,   1.2,   2.0
Dighton-Rehoboth,06500000,          52,          13,  25.0,   1.9,  25.0,   1.9,   0.0,   1.9,   4.0
Douglas,00770000,          50,           5,  10.0,   2.0,   8.0,   4.0,   4.0,   0.0,   2.0
Dover-Sherborn,06550000,          38,          37,  97.4,  92.1,  97.4,  71.1,  81.6,  52.6,  97.0
Dracut,00790000,          35,           3,   8.6,   0.0,   5.7,   0.0,   5.7,   0.0,   0.0
Dudley-Charlton Reg,06580000,          53,           3,   5.7,   0.0,   3.8,   0.0,   0.0,   0.0,   2.0
Duxbury,00820000,          51,          48,  94.1,  88.2,  64.7,  70.6,  49.0,   0.0,  29.0
East Bridgewater,00830000,          50,          11,  22.0,   2.0,   8.0,   0.0,   0.0,   2.0,  16.0
East Longmeadow,00870000,          65,          16,  24.6,   0.0,  20.0,   6.2,   6.2,   0.0,   0.0
Easthampton,00860000,          22,           0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0
Easton,00880000,         104,          22,  21.2,   0.0,  21.2,   4.8,   7.7,   0.0,   0.0
Edward M. Kennedy Academy for Health Careers (Horace Mann Charter) (District),04520000,          28,          16,  57.1,  10.7,  46.4,   0.0,   3.6,   0.0,   0.0
Essex North Shore Agricultural and Technical School District,08170000,         129,          54,  41.9,  14.0,  39.5,  15.5,  16.3,   0.0,  14.0
Everett,00930000,         136,          22,  16.2,   1.5,   7.4,   6.6,   1.5,   0.0,   1.0
Excel Academy Charter (District),04100000,          21,           8,  38.1,   0.0,  33.3,   4.8,   0.0,   0.0,   5.0
Fairhaven,00940000,          35,           4,  11.4,   0.0,  11.4,   0.0,   0.0,   0.0,   0.0
Fall River,00950000,         184,           6,   3.3,   0.0,   3.3,   0.5,   0.0,   0.0,   0.0
Falmouth,00960000,          33,           3,   9.1,   0.0,   9.1,   0.0,   0.0,   0.0,   0.0
