2018 Advanced Course Completion Report (District)  - All Students,,,,,,,,,,
District Name,District Code,#_11_12_student_all,# _advanced_students_all,%_complete_advanced_all,%_ELA_all,%_math_all,%_science_tech_all,%_history_socialscience_all,%_arts_all,%_other_subjects_all
Georgetown,1050000,205,114,55.6,11.2,52.7,2.9,11.7,0,5
Gill-Montague,6740000,111,68,61.3,31.5,52.3,11.7,10.8,2.7,16
Global Learning Charter Public (District),4960000,85,55,64.7,0,51.8,34.1,0,0,0
Gloucester,1070000,388,193,49.7,17.5,44.1,14.7,11.3,0,3
Grafton,1100000,409,204,49.9,24.4,34.7,20.8,20,0,6
Granby,1110000,105,79,75.2,40,56.2,16.2,19,1,13
Greater Fall River Regional Vocational Technical,8210000,654,360,55,43.3,54.9,43,42.8,0.3,43
Greater Lawrence Regional Vocational Technical,8230000,678,424,62.5,24.8,51,47.5,19.9,0,20
Greater Lowell Regional Vocational Technical,8280000,"1,033",987,95.5,87,91.2,55.4,30.2,1.1,36
Greater New Bedford Regional Vocational Technical,8250000,"1,029",825,80.2,45.5,56.7,52.8,66.3,0,20
Greenfield,1140000,167,76,45.5,32.3,35.3,24,24.6,1.2,8
Groton-Dunstable,6730000,416,344,82.7,21.6,76.9,41.6,11.8,1.7,8
Hadley,1170000,83,65,78.3,37.3,65.1,31.3,25.3,0,5
Hamilton-Wenham,6750000,275,221,80.4,9.5,74.5,31.6,31.6,0,25
Hampden Charter School of Science East (District),4990000,66,45,68.2,12.1,39.4,28.8,37.9,0,0
Hampden-Wilbraham,6800000,574,407,70.9,16.4,66.6,27.9,17.1,1.4,4
Hampshire,6830000,194,156,80.4,6.2,59.8,56.7,10.8,0,9
Hanover,1220000,404,400,99,78.5,89.4,64.6,55,31.2,75
Harvard,1250000,210,190,90.5,6.2,90,32.4,28.1,0,15
Hatfield,1270000,55,39,70.9,20,61.8,34.5,16.4,0,0
Haverhill,1280000,821,371,45.2,4.5,37.3,11.6,12.1,0,4
Hingham,1310000,608,601,98.8,38.3,96.4,78.1,32.1,3,44
Holbrook,1330000,133,127,95.5,63.9,92.5,28.6,58.6,22.6,42
Holliston,1360000,374,299,79.9,19.3,71.7,29.9,31.8,0,16
Holyoke,1370000,704,278,39.5,22.9,28.8,13.9,17,0,1
Hopedale,1380000,173,115,66.5,2.3,61.8,13.3,24.9,2.3,7
Hopkinton,1390000,561,439,78.3,20.5,60.8,39.8,33,13.4,11
Hudson,1410000,367,205,55.9,22.1,48.2,10.6,22.3,0.8,5
Hull,1420000,140,104,74.3,19.3,63.6,31.4,50,0,0
Innovation Academy Charter (District),4350000,191,133,69.6,25.1,55,24.6,30.9,0,14
