2017-18 Advanced Placement Performance - All Subjects - Economically Disadvantaged,,,,,,,,,
District Name,District Code,tests_taken_lowincome,score=1_lowincome,score=2_lowincome,score=3_lowincome,score=4_lowincome,score=5_lowincome,%_score_1-2_lowincome,%_score_3-5_lowincome
Southwick-Tolland-Granville Regional School District,7660000,13,4,8,1,0,0,92.3,7.7
Spencer-E Brookfield,7670000,11,2,3,4,2,0,45.5,54.5
Springfield,2810000,583,332,124,89,25,13,78.2,21.8
Stoneham,2840000,27,3,5,7,7,5,29.6,70.4
Stoughton,2850000,40,6,8,18,5,3,35,65
Sutton,2900000,20,2,9,3,4,2,55,45
Swampscott,2910000,31,1,9,14,6,1,32.3,67.7
Swansea,2920000,43,7,12,21,2,1,44.2,55.8
TEC Connections Academy Commonwealth Virtual School District,39020000,6,,,,,,,
Tantasqua,7700000,33,1,6,12,8,6,21.2,78.8
Taunton,2930000,118,37,36,21,21,3,61.9,38.1
Tewksbury,2950000,25,4,6,9,3,3,40,60
Tri-County Regional Vocational Technical,8780000,15,7,5,2,0,1,80,20
Triton,7730000,18,5,2,8,2,1,38.9,61.1
Tyngsborough,3010000,4,,,,,,,
Upper Cape Cod Regional Vocational Technical,8790000,1,,,,,,,
Uxbridge,3040000,22,3,13,5,1,0,72.7,27.3
Wachusett,7750000,19,3,3,4,7,2,31.6,68.4
Wakefield,3050000,17,1,3,2,6,5,23.5,76.5
Walpole,3070000,17,1,6,3,6,1,41.2,58.8
Waltham,3080000,64,7,14,12,20,11,32.8,67.2
Ware,3090000,19,2,9,8,0,0,57.9,42.1
Wareham,3100000,24,8,12,4,0,0,83.3,16.7
Watertown,3140000,27,2,9,5,5,6,40.7,59.3
Wayland,3150000,9,,,,,,,
Webster,3160000,46,7,14,12,5,8,45.7,54.3
Wellesley,3170000,29,0,3,8,8,10,10.3,89.7
West Boylston,3220000,11,1,4,3,3,0,45.5,54.5
West Bridgewater,3230000,18,4,4,4,4,2,44.4,55.6
West Springfield,3320000,104,16,44,32,9,3,57.7,42.3
Westborough,3210000,10,0,1,3,3,3,10,90
Westfield,3250000,64,19,16,15,11,3,54.7,45.3
Westford,3260000,17,0,2,2,6,7,11.8,88.2
Weston,3300000,27,0,6,11,7,3,22.2,77.8
Westport,3310000,14,0,9,3,1,1,64.3,35.7
Westwood,3350000,17,0,3,8,4,2,17.6,82.4
Weymouth,3360000,69,8,24,20,12,5,46.4,53.6
Whitman-Hanson,7800000,59,11,23,9,14,2,57.6,42.4
Wilmington,3420000,31,4,9,10,6,2,41.9,58.1
Winchendon,3430000,42,12,17,8,4,1,69,31
Winchester,3440000,10,0,0,3,2,5,0,100
Winthrop,3460000,44,26,9,9,0,0,79.5,20.5
Woburn,3470000,33,4,14,5,7,3,54.5,45.5
Worcester,3480000,"1,146",560,297,173,80,36,74.8,25.2
State Totals,0,"14,928","4,263","4,009","3,343","2,141","1,172",55.4,44.6
