2017-18 Advanced Placement Participation - All Subjects - Asian,,,,,,,,,
District Name,District Code,test_takers_asian,tests_taken_asian,one_test_asian,two_tests_asian,three_tests_asian,four_tests_asian,five_ormore_tests_asian,
Westborough,03210000,     102,     222,      42,      28,      14,      11,       7,
Westfield,03250000,       9,,,,,,,
Westford,03260000,     179,     414,      57,      50,      40,      24,       8,
Weston,03300000,      63,     138,      25,      16,       8,      13,       1,
Westport,03310000,       1,,,,,,,
Westwood,03350000,      36,      81,      12,      14,       4,       4,       2,
Weymouth,03360000,      16,      39,       4,       5,       5,       0,       2,
Whitman-Hanson,07800000,       7,,,,,,,
Wilmington,03420000,      22,      50,      11,       3,       3,       2,       3,
Winchendon,03430000,       5,,,,,,,
Winchester,03440000,      85,     218,      28,      17,      18,      12,      10,
Winthrop,03460000,       3,,,,,,,
Woburn,03470000,      26,      40,      18,       3,       4,       1,       0,
Worcester,03480000,     274,     557,     115,      72,      58,      23,       6,
State Totals,00000000,"   6,505","  14,246","   2,481","   1,767","   1,250",     650,     357,
