"2018 Per Pupil Expenditures, All Funds ",,,,,,,,
District Name,District Code,In-District Expenditures,Total In-district FTEs,In-District Expenditures per Pupil,Total Expenditures,Total Pupil FTEs,Total Expenditures per Pupil,
Pioneer Valley,07500000,"14,415,876.00",             774.2,"18,620.35","15,852,773.00",             867.2,"18,280.41",
Pioneer Valley Chinese Immersion Charter (District),04970000,"8,055,301.28",             492.7,"16,350.63","8,055,301.28",             492.7,"16,350.63",
Pioneer Valley Performing Arts Charter Public (District),04790000,"6,699,867.00",             401.4,"16,693.33","6,699,867.00",             401.4,"16,693.33",
Pittsfield,02360000,"87,181,650.00","           5,502.3","15,844.58","96,597,181.00","           6,235.3","15,491.99",
Plainville,02380000,"11,628,425.00",             713.8,"16,290.87","12,755,420.00",             748.5,"17,041.31",
Plymouth,02390000,"128,481,983.00","           7,507.4","17,114.05","143,401,471.00","           8,171.8","17,548.33",
Plympton,02400000,"3,292,844.00",             204.5,"16,101.93","4,056,867.00",             223.1,"18,184.07",
Prospect Hill Academy Charter (District),04870000,"22,687,405.40","           1,150.8","19,715.15","22,687,405.40","           1,150.8","19,715.15",
Provincetown,02420000,"4,716,395.00",             119.7,"39,401.80","5,435,842.00",             175.9,"30,903.02",
Quabbin,07530000,"33,410,621.00","           2,209.5","15,121.35","37,538,065.00","           2,384.9","15,739.89",
Quaboag Regional,07780000,"18,483,918.00","           1,342.1","13,772.39","19,696,169.00","           1,431.4","13,760.07",
Quincy,02430000,"145,317,849.00","           9,388.4","15,478.45","163,061,410.00","           9,633.8","16,925.97",
Ralph C Mahar,07550000,"12,226,040.00",             772.9,"15,818.40","14,706,678.00",             867.9,"16,945.13",
Randolph,02440000,"50,481,426.00","           2,866.2","17,612.67","61,150,343.00","           3,414.5","17,909.02",
Reading,02460000,"55,080,005.00","           4,175.0","13,192.82","60,588,390.00","           4,266.2","14,201.96",
Revere,02480000,"100,063,018.00","           7,568.2","13,221.51","119,116,804.00","           8,060.4","14,778.03",
Richmond,02490000,"3,421,743.00",             178.6,"19,158.70","4,021,258.00",             218.1,"18,437.68",
Rising Tide Charter Public (District),04830000,"9,883,724.93",             661.5,"14,940.71","9,883,724.93",             661.5,"14,940.71",
River Valley Charter (District),04820000,"4,511,587.00",             288.0,"15,665.23","4,511,587.00",             288.0,"15,665.23",
Rochester,02500000,"7,012,476.00",             505.6,"13,869.61","7,559,829.00",             516.6,"14,633.81",
Rockland,02510000,"34,181,195.00","           2,195.6","15,568.04","38,377,939.00","           2,380.3","16,123.15",
Rockport,02520000,"16,872,046.00",             918.2,"18,375.13","19,112,301.00",             957.2,"19,966.88",
Rowe,02530000,"1,742,695.00",              65.5,"26,606.03","2,210,385.00",              95.0,"23,267.21",
Roxbury Preparatory Charter (District),04840000,"25,159,274.25","           1,407.3","17,877.56","25,159,274.25","           1,407.3","17,877.56",
Sabis International Charter (District),04410000,"21,651,125.12","           1,570.4","13,786.66","21,651,125.12","           1,570.4","13,786.66",
Salem,02580000,"72,895,053.00","           3,737.0","19,506.30","89,300,893.00","           4,656.5","19,177.69",
Salem Academy Charter (District),04850000,"7,873,515.49",             474.2,"16,603.09","7,873,515.49",             474.2,"16,603.09",
Sandwich,02610000,"44,341,726.00","           2,616.0","16,950.20","51,380,959.00","           2,942.7","17,460.48",
Saugus,02620000,"41,216,961.00","           2,630.2","15,670.66","47,076,282.00","           2,884.4","16,321.00",
Savoy,02630000,"775,074.00",              54.2,"14,300.26","1,072,635.00",              85.9,"12,487.02",
Scituate,02640000,"44,346,416.00","           2,952.3","15,020.97","48,097,926.00","           3,006.9","15,995.85",
Seekonk,02650000,"30,835,027.00","           2,009.2","15,346.92","34,521,827.00","           2,059.9","16,758.98",
Seven Hills Charter Public (District),04860000,"9,956,035.00",             664.5,"14,982.07","9,956,035.00",             664.5,"14,982.07",
Sharon,02660000,"57,276,974.00","           3,573.0","16,030.50","61,182,916.00","           3,621.8","16,892.96",
Shawsheen Valley Regional Vocational Technical,08710000,"29,852,643.00","           1,274.3","23,426.70","29,915,011.00","           1,285.3","23,274.73",
Sherborn,02690000,"7,411,572.00",             428.0,"17,316.76","8,437,124.00",             433.5,"19,462.80",
Shrewsbury,02710000,"79,534,686.00","           6,147.5","12,937.73","87,662,358.00","           6,379.0","13,742.34",
Shutesbury,02720000,"2,804,171.00",             123.5,"22,705.84","2,989,764.00",             139.9,"21,370.72",
