2018 Advanced Course Completion Report (District)  - Male,,,,,,,,,,,
District Name,District Code,male # Grade 11 and 12 Students,male # Students Completing Advanced,male % Students Completing Advanced,male % ELA,male % Math,male % Science and Technology,male % History and Social Sciences,male % Arts,male % All Other Subjects,male Ch 74 Secondary Cooperative Program
Montachusett Regional Vocational Technical,08320000,         369,         190,  51.5,  29.8,  50.9,  29.8,  28.7,   1.9,  29.0,  28.7
Mount Greylock,07150000,          83,          58,  69.9,  19.3,  68.7,  14.5,  47.0,   1.2,   4.0,   0.0
Mystic Valley Regional Charter (District),04700000,          86,          82,  95.3,  66.3,  83.7,  80.2,  74.4,   2.3,  53.0,   0.0
Nantucket,01970000,         142,          78,  54.9,  12.0,  54.2,   7.7,   5.6,   0.0,  11.0,   0.0
Narragansett,07200000,          84,          67,  79.8,  14.3,  76.2,  17.9,  19.0,   0.0,   5.0,   0.0
Nashoba,07250000,         239,         199,  83.3,   6.3,  82.0,  36.4,  50.6,   0.8,   7.0,   0.0
Nashoba Valley Regional Vocational Technical,08520000,         192,         127,  66.1,  39.6,  65.6,  24.0,  22.4,  11.5,  19.0,  18.8
Natick,01980000,         389,         264,  67.9,   7.7,  59.6,  19.5,  43.2,   0.0,  11.0,   0.0
Nauset,06600000,         219,         134,  61.2,   6.4,  48.9,  32.9,  26.9,   9.1,   0.0,   0.0
Needham,01990000,         424,         365,  86.1,  21.7,  84.2,  15.1,  32.8,   0.7,   9.0,   0.0
New Bedford,02010000,         459,         105,  22.9,   8.3,  20.0,   5.2,   1.3,   0.4,   3.0,   0.0
Newburyport,02040000,         178,         106,  59.6,  12.9,  47.8,  19.7,  16.9,   2.8,   2.0,   0.0
Newton,02070000,"       1,010",         693,  68.6,   7.1,  55.9,  20.5,  29.6,   1.2,   4.0,   0.2
Norfolk County Agricultural,09150000,          90,          35,  38.9,   0.0,  38.9,   0.0,   0.0,   0.0,   8.0,   0.0
North Adams,02090000,          67,          40,  59.7,  56.7,  32.8,  19.4,  16.4,   0.0,   1.0,   0.0
North Andover,02110000,         374,         216,  57.8,   5.6,  54.0,  15.2,  26.7,   1.9,   4.0,   0.0
North Attleborough,02120000,         298,         149,  50.0,   8.1,  45.0,  14.1,  19.5,   0.0,   6.0,   0.0
