2018 Advanced Course Completion Report (District)  - Asian,,,,,,,,,,
District Name,District Code,#_11_12_student_asian,# _advanced_students_asian,%_complete_advanced_asian,%_ELA_asian,%_math_asian,%_science_tech_asian,%_history_socialscience_asian,%_arts_asian,%_other_subjects_asian
Ralph C Mahar,07550000,           6,           4,  66.7,   0.0,  66.7,  66.7,   0.0,   0.0,   0.0
Randolph,02440000,          69,          57,  82.6,  44.9,  76.8,  55.1,   7.2,   0.0,   9.0
Reading,02460000,          27,          20,  74.1,   7.4,  74.1,  48.1,  14.8,   7.4,  22.0
Revere,02480000,          66,          61,  92.4,  19.7,  92.4,  22.7,  24.2,   0.0,   9.0
Rising Tide Charter Public (District),04830000,           8,           6,  75.0,   0.0,  75.0,  12.5,   0.0,   0.0,   0.0
Rockland,02510000,           2,,,,,,,,
Rockport,02520000,           1,,,,,,,,
Sabis International Charter (District),04410000,           7,           7, 100.0,  28.6, 100.0,   0.0,  28.6,   0.0,   0.0
Salem,02580000,          14,          12,  85.7,  28.6,  71.4,  57.1,  57.1,   0.0,   0.0
Salem Academy Charter (District),04850000,           4,,,,,,,,
Sandwich,02610000,           6,           3,  50.0,  16.7,  50.0,  33.3,  16.7,   0.0,   0.0
Saugus,02620000,          16,          16, 100.0,  68.8,  87.5,  37.5,  37.5,  62.5, 100.0
Scituate,02640000,           5,,,,,,,,
Seekonk,02650000,           8,           6,  75.0,  37.5,  75.0,  62.5,  25.0,   0.0,   0.0
Sharon,02660000,         124,         117,  94.4,   6.5,  91.1,  62.9,  61.3,   0.8,  26.0
Shawsheen Valley Regional Vocational Technical,08710000,           5,,,,,,,,
Shrewsbury,02710000,         166,         157,  94.6,  30.1,  94.6,  64.5,  41.0,   1.8,   7.0
Silver Lake,07600000,           4,,,,,,,,
Sizer School: A North Central Charter Essential (District),04740000,           1,,,,,,,,
Somerset Berkley Regional School District,07630000,           6,           6, 100.0,  66.7,  83.3,  33.3,  16.7,   0.0,  17.0
Somerville,02740000,          54,          42,  77.8,  35.2,  72.2,  37.0,  50.0,   0.0,   6.0
South Hadley,02780000,           7,           3,  42.9,  14.3,  28.6,  28.6,  42.9,  14.3,   0.0
South Shore Charter Public (District),04880000,           1,,,,,,,,
South Shore Regional Vocational Technical,08730000,           4,,,,,,,,
Southbridge,02770000,           3,,,,,,,,
Southeastern Regional Vocational Technical,08720000,           9,           7,  77.8,  33.3,  77.8,  44.4,  22.2,   0.0,  22.0
Southern Worcester County Regional Vocational Technical,08760000,           2,,,,,,,,
Southwick-Tolland-Granville Regional School District,07660000,           2,,,,,,,,
Spencer-E Brookfield,07670000,           2,,,,,,,,
Springfield,02810000,          98,          59,  60.2,  38.8,  44.9,  18.4,  12.2,   9.2,   8.0
Stoneham,02840000,          12,          12, 100.0,  50.0,  83.3,  25.0,  16.7,   0.0,  42.0
Stoughton,02850000,          34,          29,  85.3,  14.7,  79.4,  32.4,  20.6,   0.0,  18.0
Sturgis Charter Public (District),04890000,          12,          12, 100.0, 100.0, 100.0, 100.0, 100.0,  16.7, 100.0
Sutton,02900000,           3,,,,,,,,
Swampscott,02910000,          11,           9,  81.8,  18.2,  72.7,  18.2,  27.3,  18.2,   9.0
Swansea,02920000,           3,,,,,,,,
TEC Connections Academy Commonwealth Virtual School District,39020000,           8,           3,  37.5,  12.5,  37.5,  12.5,   0.0,   0.0,   0.0
Tantasqua,07700000,           5,,,,,,,,
Taunton,02930000,          23,          19,  82.6,  26.1,  73.9,  21.7,  47.8,   0.0,  17.0
Tewksbury,02950000,          11,           7,  63.6,   0.0,  63.6,  18.2,  36.4,   0.0,   0.0
Tri-County Regional Vocational Technical,08780000,           3,,,,,,,,
Triton,07730000,           7,           5,  71.4,   0.0,  71.4,   0.0,  28.6,  14.3,  14.0
Tyngsborough,03010000,          13,          12,  92.3,   0.0,  92.3,  61.5,   7.7,   0.0,   0.0
Upper Cape Cod Regional Vocational Technical,08790000,           8,           7,  87.5,  37.5,  87.5,  25.0,   0.0,   0.0,  25.0
Uxbridge,03040000,           4,,,,,,,,
Wachusett,07750000,          42,          34,  81.0,   9.5,  76.2,   7.1,  38.1,   7.1,   5.0
Wakefield,03050000,          20,          16,  80.0,  50.0,  80.0,  55.0,  35.0,   0.0,  10.0
Walpole,03070000,          18,          15,  83.3,  50.0,  66.7,  72.2,  55.6,   0.0,  28.0
Waltham,03080000,          43,          32,  74.4,  20.9,  65.1,  32.6,  37.2,   9.3,  14.0
Ware,03090000,           2,,,,,,,,
Wareham,03100000,           7,           4,  57.1,  14.3,  57.1,  28.6,   0.0,   0.0,   0.0
Watertown,03140000,          17,          16,  94.1,  17.6,  88.2,  41.2,  29.4,   0.0,  12.0
Wayland,03150000,          73,          70,  95.9,   6.8,  91.8,  35.6,  23.3,  11.0,  32.0
Webster,03160000,           6,           5,  83.3,  16.7,  50.0,  33.3,  16.7,   0.0,  17.0
Wellesley,03170000,          98,          91,  92.9,   0.0,  89.8,  71.4,  22.4,   0.0,  26.0
West Boylston,03220000,           2,,,,,,,,
West Bridgewater,03230000,           3,,,,,,,,
West Springfield,03320000,          48,          21,  43.8,  20.8,  37.5,  10.4,  16.7,   0.0,   2.0
Westborough,03210000,         106,          93,  87.7,   8.5,  84.9,  49.1,  39.6,   2.8,  20.0
Westfield,03250000,          26,          14,  53.8,  23.1,  38.5,  19.2,  19.2,   0.0,   4.0
Westford,03260000,         173,         169,  97.7,  14.5,  93.1,  64.2,  55.5,   9.8,  27.0
Weston,03300000,          54,          36,  66.7,   0.0,  66.7,  24.1,  40.7,   0.0,  13.0
Westport,03310000,           3,,,,,,,,
Westwood,03350000,          25,          23,  92.0,  64.0,  88.0,  36.0,  72.0,   4.0,  20.0
Weymouth,03360000,          37,          37, 100.0,  59.5,  94.6,  83.8,  40.5,  21.6,  51.0
Whitman-Hanson,07800000,           6,           6, 100.0,  83.3,  66.7,  50.0,  33.3,   0.0,   0.0
Whittier Regional Vocational Technical,08850000,           7,           4,  57.1,  57.1,  57.1,  57.1,  57.1,   0.0,  57.0
Wilmington,03420000,          26,          20,  76.9,  26.9,  73.1,  23.1,  38.5,   0.0,  12.0
Winchendon,03430000,           2,,,,,,,,
Winchester,03440000,          99,          99, 100.0,  41.4,  96.0,  90.9,  55.6,  16.2,  99.0
Winthrop,03460000,           7,           7, 100.0,  14.3, 100.0,  57.1,   0.0,   0.0,  14.0
Woburn,03470000,          45,          34,  75.6,   4.4,  62.2,  42.2,  24.4,   2.2,   2.0
Worcester,03480000,         324,         259,  79.9,  30.6,  66.4,  37.3,  32.1,   3.4,  18.0
State Totals,00000000,"       9,281","       7,679",  82.7,  23.3,  74.4,  42.0,  32.4,   3.3,  16.0
