2018 Advanced Course Completion Report (District)  - High Needs,,,,,,,,,,,
District Name,District Code,#_11_12_student_highneeds,# _advanced_students_highneeds,%_complete_advanced_highneeds,%_ELA_highneeds,%_math_highneeds,%_science_tech_highneeds,%_history_socialscience_highneeds,%_arts_highneeds,%_other_subjects_highneeds,
Berkshire Hills,06180000,          86,          30,  34.9,   8.1,  22.1,   4.7,   3.5,  10.5,   0.0,
Berlin-Boylston,06200000,          29,          12,  41.4,   6.9,  37.9,   3.4,  13.8,   0.0,   0.0,
Beverly,00300000,         200,          56,  28.0,   4.5,  24.0,   5.0,   2.0,   3.5,   0.0,
Billerica,00310000,         124,          68,  54.8,   1.6,  50.8,   4.0,   8.9,   0.0,   1.0,
Blackstone Valley Regional Vocational Technical,08050000,         109,          53,  48.6,  20.2,  36.7,  20.2,   3.7,   0.0,   4.0,
Blackstone-Millville,06220000,          58,          12,  20.7,  10.3,  17.2,   1.7,   1.7,   0.0,   0.0,
Blue Hills Regional Vocational Technical,08060000,         185,         127,  68.6,  28.1,  53.5,  35.1,  25.9,   4.9,  14.0,
Boston,00350000,"       5,860","       2,475",  42.2,  10.6,  34.7,  11.4,   4.1,   1.1,   6.0,
Boston Collegiate Charter (District),04490000,          43,          42,  97.7,  20.9,  97.7,  25.6,  30.2,   0.0,   0.0,
Boston Day and Evening Academy Charter (District),04240000,         225,          12,   5.3,   0.0,   5.3,   0.0,   0.0,   0.0,   0.0,
Boston Green Academy Horace Mann Charter School (District),04110000,          96,          58,  60.4,  28.1,  49.0,  26.0,   0.0,   0.0,   0.0,
Boston Preparatory Charter Public (District),04160000,          57,          56,  98.2,  45.6,  89.5,  66.7,  21.1,   0.0,   0.0,
Bourne,00360000,          82,          26,  31.7,   4.9,  31.7,   4.9,   4.9,   0.0,   0.0,
Braintree,00400000,         272,         127,  46.7,   1.5,  46.7,   5.5,   6.6,   0.0,   3.0,
Bridgewater-Raynham,06250000,         168,          55,  32.7,   9.5,  30.4,   9.5,   3.6,   1.2,   0.0,
Bristol County Agricultural,09100000,          56,           5,   8.9,   0.0,   8.9,   0.0,   0.0,   0.0,   0.0,
Bristol-Plymouth Regional Vocational Technical,08100000,         230,         100,  43.5,  23.0,  42.2,  19.6,  19.6,   0.0,  20.0,
Brockton,00440000,"       1,625",         492,  30.3,   5.2,  27.1,   2.6,   3.8,   0.7,   7.0,
Brookline,00460000,         261,         215,  82.4,   0.0,  80.8,  34.5,   4.6,   1.1,   4.0,
Burlington,00480000,          90,          26,  28.9,   2.2,  27.8,   5.6,   3.3,   2.2,   3.0,
Cambridge,00490000,         437,         165,  37.8,  12.1,  31.4,   9.8,   4.6,   0.7,   5.0,
Canton,00500000,         109,          55,  50.5,  20.2,  37.6,   7.3,   9.2,   0.9,   0.0,
Cape Cod Regional Vocational Technical,08150000,         130,          46,  35.4,  23.8,  29.2,  16.9,  23.8,   0.8,  18.0,
Carver,00520000,          52,          21,  40.4,  11.5,  40.4,   9.6,  11.5,   0.0,   0.0,
Central Berkshire,06350000,          90,          40,  44.4,  10.0,  37.8,   6.7,   7.8,   0.0,   0.0,
Chelmsford,00560000,         172,         135,  78.5,   2.3,  77.9,   4.7,   7.6,   0.6,   3.0,
Chelsea,00570000,         583,         294,  50.4,   9.9,  43.4,   8.6,   3.6,   1.2,   4.0,
Chicopee,00610000,         622,         202,  32.5,  11.1,  26.8,   5.8,   7.6,   0.0,   3.0,
City on a Hill Charter Public School Circuit Street (District),04370000,          49,          39,  79.6,  26.5,  75.5,  18.4,  32.7,   0.0,  12.0,
City on a Hill Charter Public School Dudley Square (District),35040000,          77,          55,  71.4,   3.9,  71.4,  14.3,  16.9,   0.0,   4.0,
City on a Hill Charter Public School New Bedford (District),35070000,          48,          18,  37.5,   0.0,  35.4,   0.0,  12.5,   0.0,   0.0,
Clinton,00640000,          94,          24,  25.5,   6.4,  21.3,   8.5,   3.2,   0.0,   0.0,
Codman Academy Charter Public (District),04380000,          46,          17,  37.0,  28.3,  34.8,  28.3,   0.0,   0.0,   4.0,
Cohasset,00650000,          38,          25,  65.8,   2.6,  60.5,  15.8,   0.0,   0.0,   3.0,
Community Charter School of Cambridge (District),04360000,          50,          39,  78.0,  12.0,  54.0,  24.0,  38.0,   0.0,  16.0,
Concord-Carlisle,06400000,         139,          81,  58.3,   0.7,  58.3,   5.0,   1.4,   2.9,   3.0,
Danvers,00710000,         126,          45,  35.7,   7.9,  26.2,  11.1,  19.0,   0.0,   2.0,
Dartmouth,00720000,         144,          56,  38.9,   5.6,  29.9,   2.8,   4.9,   0.7,   3.0,
Dedham,00730000,         125,          58,  46.4,   6.4,  43.2,   8.8,  13.6,   0.0,   4.0,
Dennis-Yarmouth,06450000,         210,          39,  18.6,   9.0,   5.7,   2.4,  10.5,   1.0,   4.0,
Dighton-Rehoboth,06500000,          92,          37,  40.2,   3.3,  38.0,   3.3,   8.7,   1.1,   3.0,
Douglas,00770000,          68,           9,  13.2,   4.4,   8.8,   4.4,   4.4,   0.0,   1.0,
Dover-Sherborn,06550000,          56,          55,  98.2,  85.7,  98.2,  66.1,  76.8,  51.8,  98.0,
Dracut,00790000,          91,          30,  33.0,  12.1,  24.2,   6.6,   9.9,   0.0,   0.0,
