2018 Advanced Course Completion Report (District)  - Hispanic or Latino,,,,,,,,,,,
District Name,District Code,#_11_12_student_hispanic,# _advanced_students_hispanic,%_complete_advanced_hispanic,%_ELA_hispanic,%_math_hispanic,%_science_tech_hispanic,%_history_socialscience_hispanic,%_arts_hispanic,%_other_subjects_hispanic,
Rising Tide Charter Public (District),04830000,           3,,,,,,,,,
Rockland,02510000,          21,          21, 100.0, 100.0,  95.2,  85.7,  66.7,  38.1,  86.0,
Rockport,02520000,           4,,,,,,,,,
Roxbury Preparatory Charter (District),04840000,          30,          30, 100.0, 100.0, 100.0, 100.0,  40.0,   0.0,  60.0,
Sabis International Charter (District),04410000,          63,          58,  92.1,  27.0,  92.1,  12.7,  27.0,   0.0,   6.0,
Salem,02580000,         222,          74,  33.3,   5.4,  18.5,  11.7,  15.3,   0.5,   5.0,
Salem Academy Charter (District),04850000,          41,          31,  75.6,  19.5,  46.3,  12.2,  39.0,   0.0,  27.0,
Sandwich,02610000,           3,,,,,,,,,
Saugus,02620000,          47,          47, 100.0,  78.7,  87.2,  59.6,  78.7,  51.1,  94.0,
Scituate,02640000,           2,,,,,,,,,
Seekonk,02650000,           8,           4,  50.0,  12.5,  37.5,  25.0,  12.5,   0.0,   0.0,
Sharon,02660000,          24,          13,  54.2,   4.2,  45.8,   4.2,  29.2,   4.2,   8.0,
Shawsheen Valley Regional Vocational Technical,08710000,          24,          14,  58.3,  37.5,  58.3,  25.0,   8.3,   0.0,  38.0,
Shrewsbury,02710000,          67,          43,  64.2,   0.0,  64.2,   6.0,  10.4,   3.0,   1.0,
Silver Lake,07600000,          11,           8,  72.7,  36.4,  72.7,  54.5,  36.4,   0.0,  27.0,
Sizer School: A North Central Charter Essential (District),04740000,          10,           0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,
Somerset Berkley Regional School District,07630000,           9,           6,  66.7,  55.6,  11.1,  33.3,  44.4,  11.1,  11.0,
Somerville,02740000,         268,         147,  54.9,  10.8,  48.5,   9.0,  16.8,   0.0,   8.0,
South Hadley,02780000,          17,           8,  47.1,   5.9,  29.4,  11.8,  17.6,   0.0,  18.0,
South Middlesex Regional Vocational Technical,08290000,         151,          83,  55.0,  20.5,  47.7,  30.5,  17.2,   2.0,  20.0,
South Shore Charter Public (District),04880000,           5,,,,,,,,,
South Shore Regional Vocational Technical,08730000,          12,           2,  16.7,   8.3,  16.7,   8.3,   0.0,   0.0,   8.0,
Southbridge,02770000,         132,          62,  47.0,   6.1,  44.7,   5.3,   2.3,   0.0,   8.0,
Southeastern Regional Vocational Technical,08720000,          76,          38,  50.0,  21.1,  44.7,  18.4,  14.5,   0.0,  12.0,
Southern Berkshire,07650000,           5,,,,,,,,,
Southern Worcester County Regional Vocational Technical,08760000,          42,          14,  33.3,  16.7,  26.2,  11.9,   9.5,   0.0,  10.0,
Southwick-Tolland-Granville Regional School District,07660000,          10,           1,  10.0,   0.0,   0.0,  10.0,   0.0,   0.0,  10.0,
Spencer-E Brookfield,07670000,          15,          11,  73.3,  20.0,  66.7,   6.7,  13.3,   0.0,   0.0,
Springfield,02810000,"       1,763",         592,  33.6,  13.2,  26.3,   5.6,   6.0,   5.3,   7.0,
Stoneham,02840000,          18,          10,  55.6,  16.7,  33.3,  11.1,  11.1,   0.0,  17.0,
Stoughton,02850000,          30,          12,  40.0,   6.7,  40.0,  10.0,   6.7,   0.0,  13.0,
Sturgis Charter Public (District),04890000,          16,          16, 100.0, 100.0, 100.0,  93.8, 100.0,  56.3,  88.0,
Sutton,02900000,           6,           2,  33.3,  16.7,  33.3,   0.0,  16.7,   0.0,   0.0,
