2017-18 Advanced Placement Performance - All Subjects - High Needs,,,,,,,,,
District Name,District Code,tests_taken_highneeds,score=1_highneeds,score=2_highneeds,score=3_highneeds,score=4_highneeds,score=5_highneeds,%_score_1-2_highneeds,%_score_3-5_highneeds
Sandwich,02610000,      15,       3,       5,       2,       5,       0,  53.3,  46.7
Saugus,02620000,      58,      21,      23,       8,       5,       1,  75.9,  24.1
Scituate,02640000,      27,       3,       5,      11,       5,       3,  29.6,  70.4
Seekonk,02650000,      29,       5,       6,       9,       8,       1,  37.9,  62.1
Sharon,02660000,      39,       1,       6,       5,      10,      17,  17.9,  82.1
Shrewsbury,02710000,      52,       0,       3,       8,      27,      14,   5.8,  94.2
Silver Lake,07600000,      41,       3,       9,      15,      12,       2,  29.3,  70.7
Somerset Berkley Regional School District,07630000,      36,       3,       5,      11,      10,       7,  22.2,  77.8
Somerville,02740000,     159,      44,      48,      36,      20,      11,  57.9,  42.1
South Hadley,02780000,      28,       4,       8,       8,       6,       2,  42.9,  57.1
South Middlesex Regional Vocational Technical,08290000,      16,       6,       6,       3,       1,       0,  75.0,  25.0
South Shore Charter Public (District),04880000,      11,       3,       3,       3,       2,       0,  54.5,  45.5
Southbridge,02770000,      48,      27,      12,       5,       3,       1,  81.3,  18.8
Southeastern Regional Vocational Technical,08720000,      70,      44,      15,       9,       2,       0,  84.3,  15.7
Southern Berkshire,07650000,       5,,,,,,,
Southern Worcester County Regional Vocational Technical,08760000,      46,       9,      16,      14,       4,       3,  54.3,  45.7
Southwick-Tolland-Granville Regional School District,07660000,      13,       4,       8,       1,       0,       0,  92.3,   7.7
Spencer-E Brookfield,07670000,      11,       2,       3,       4,       2,       0,  45.5,  54.5
Springfield,02810000,     587,     334,     126,      89,      25,      13,  78.4,  21.6
Stoneham,02840000,      32,       3,       6,      10,       7,       6,  28.1,  71.9
Stoughton,02850000,      41,       6,       8,      18,       6,       3,  34.1,  65.9
Sutton,02900000,      20,       2,       9,       3,       4,       2,  55.0,  45.0
Swampscott,02910000,      35,       1,      10,      14,       9,       1,  31.4,  68.6
Swansea,02920000,      43,       7,      12,      21,       2,       1,  44.2,  55.8
TEC Connections Academy Commonwealth Virtual School District,39020000,       6,,,,,,,
Tantasqua,07700000,      34,       1,       7,      12,       8,       6,  23.5,  76.5
Taunton,02930000,     124,      39,      39,      22,      21,       3,  62.9,  37.1
Tewksbury,02950000,      29,       5,       8,       9,       4,       3,  44.8,  55.2
Tri-County Regional Vocational Technical,08780000,      20,       7,       8,       3,       0,       2,  75.0,  25.0
Triton,07730000,      23,       6,       4,       8,       3,       2,  43.5,  56.5
Tyngsborough,03010000,       5,,,,,,,
Upper Cape Cod Regional Vocational Technical,08790000,       1,,,,,,,
Uxbridge,03040000,      23,       3,      13,       5,       2,       0,  69.6,  30.4
Wachusett,07750000,      34,       4,       5,       7,      11,       7,  26.5,  73.5
Wakefield,03050000,      20,       1,       3,       4,       7,       5,  20.0,  80.0
Walpole,03070000,      19,       2,       6,       3,       7,       1,  42.1,  57.9
Waltham,03080000,      70,       8,      15,      14,      22,      11,  32.9,  67.1
Ware,03090000,      19,       2,       9,       8,       0,       0,  57.9,  42.1
Wareham,03100000,      25,       9,      12,       4,       0,       0,  84.0,  16.0
Watertown,03140000,      31,       3,      10,       5,       6,       7,  41.9,  58.1
Wayland,03150000,      26,       2,       1,      14,       5,       4,  11.5,  88.5
Webster,03160000,      55,      10,      15,      14,       5,      11,  45.5,  54.5
Wellesley,03170000,      50,       2,       3,      14,      11,      20,  10.0,  90.0
West Boylston,03220000,      11,       1,       4,       3,       3,       0,  45.5,  54.5
West Bridgewater,03230000,      19,       4,       5,       4,       4,       2,  47.4,  52.6
West Springfield,03320000,     106,      18,      44,      32,       9,       3,  58.5,  41.5
Westborough,03210000,      12,       0,       2,       3,       4,       3,  16.7,  83.3
Westfield,03250000,      68,      20,      16,      18,      11,       3,  52.9,  47.1
Westford,03260000,      22,       0,       2,       3,       8,       9,   9.1,  90.9
Weston,03300000,      79,      13,      12,      23,      21,      10,  31.6,  68.4
Westport,03310000,      14,       0,       9,       3,       1,       1,  64.3,  35.7
Westwood,03350000,      30,       0,       4,      11,      10,       5,  13.3,  86.7
Weymouth,03360000,      73,       9,      25,      22,      12,       5,  46.6,  53.4
Whitman-Hanson,07800000,      67,      11,      26,      11,      17,       2,  55.2,  44.8
Wilmington,03420000,      33,       5,      10,      10,       6,       2,  45.5,  54.5
Winchendon,03430000,      44,      14,      17,       8,       4,       1,  70.5,  29.5
Winchester,03440000,      25,       0,       4,       7,       5,       9,  16.0,  84.0
Winthrop,03460000,      51,      28,       9,      11,       0,       3,  72.5,  27.5
Woburn,03470000,      37,       6,      15,       5,       8,       3,  56.8,  43.2
Worcester,03480000,"   1,390",     675,     364,     204,      97,      50,  74.7,  25.3
State Totals,00000000,"  16,943","   4,768","   4,407","   3,707","   2,515","   1,546",  54.2,  45.8
