2018 Advanced Course Completion Report (District)  - White,,,,,,,,,,
District Name,District Code,#_11_12_student_white,# _advanced_students_white,%_complete_advanced_white,%_ELA_white,%_math_white,%_science_tech_white,%_history_socialscience_white,%_arts_white,%_other_subjects_white
Hampden-Wilbraham,06800000,         502,         363,  72.3,  16.1,  68.1,  29.5,  17.3,   1.6,   4.0
Hampshire,06830000,         184,         152,  82.6,   6.5,  61.4,  58.7,  11.4,   0.0,  10.0
Hanover,01220000,         391,         387,  99.0,  78.0,  89.5,  64.5,  54.7,  31.2,  75.0
Harvard,01250000,         169,         151,  89.3,   4.1,  88.8,  26.6,  28.4,   0.0,  11.0
Hatfield,01270000,          48,          34,  70.8,  18.8,  60.4,  33.3,  16.7,   0.0,   0.0
Haverhill,01280000,         529,         287,  54.3,   5.7,  45.4,  13.4,  17.2,   0.0,   5.0
Hingham,01310000,         558,         552,  98.9,  37.5,  96.4,  78.1,  30.8,   2.9,  46.0
Holbrook,01330000,          60,          55,  91.7,  56.7,  90.0,  18.3,  60.0,  26.7,  35.0
Holliston,01360000,         333,         266,  79.9,  19.5,  71.2,  30.3,  30.9,   0.0,  16.0
Holyoke,01370000,         155,         100,  64.5,  49.0,  48.4,  32.3,  41.3,   0.0,   0.0
Hopedale,01380000,         160,         109,  68.1,   2.5,  63.1,  14.4,  26.9,   2.5,   6.0
Hopkinton,01390000,         477,         371,  77.8,  19.7,  59.3,  38.2,  32.5,  14.5,  10.0
Hudson,01410000,         314,         188,  59.9,  23.9,  51.9,  11.1,  24.2,   0.6,   5.0
Hull,01420000,         132,          98,  74.2,  19.7,  64.4,  32.6,  48.5,   0.0,   0.0
Innovation Academy Charter (District),04350000,         150,         106,  70.7,  22.0,  57.3,  25.3,  30.7,   0.0,  13.0
Ipswich,01440000,         211,         122,  57.8,  17.1,  52.6,  20.4,  25.1,   0.5,   9.0
KIPP Academy Lynn Charter (District),04290000,          14,          12,  85.7,  35.7,  78.6,  35.7,  21.4,   0.0,  14.0
King Philip,06900000,         613,         480,  78.3,  32.1,  76.7,  14.5,  27.7,   2.4,  10.0
Lawrence,01490000,          53,          36,  67.9,   5.7,  52.8,  35.8,   9.4,   3.8,   0.0
Lee,01500000,          96,          57,  59.4,  40.6,  42.7,  25.0,   6.3,   0.0,  17.0
Leicester,01510000,         195,         129,  66.2,  27.7,  54.9,   4.1,  22.1,   0.0,   0.0
Lenox,01520000,          93,          74,  79.6,   0.0,  73.1,  43.0,   0.0,   9.7,  19.0
Leominster,01530000,         539,         395,  73.3,  21.2,  47.9,  34.1,  24.1,   0.7,  36.0
Lexington,01550000,         607,         502,  82.7,   0.0,  79.4,  25.0,  40.0,   0.3,  12.0
Lincoln-Sudbury,06950000,         592,         523,  88.3,   0.0,  88.0,  13.2,   0.0,   1.5,   5.0
Littleton,01580000,         204,         200,  98.0,  64.2,  93.1,  58.8,  66.2,   1.5,  36.0
Longmeadow,01590000,         383,         314,  82.0,  21.9,  66.6,  64.2,  20.4,   3.4,  13.0
Lowell,01600000,         479,         365,  76.2,  21.3,  48.9,  49.1,  34.9,   0.0,   2.0
Lowell Middlesex Academy Charter (District),04580000,          20,           8,  40.0,  40.0,   0.0,   0.0,   0.0,   0.0,   0.0
Ludlow,01610000,         363,         168,  46.3,  14.0,  32.0,  20.9,  13.2,   0.0,   1.0
Lunenburg,01620000,         186,         125,  67.2,  39.8,  45.2,  17.2,  41.4,   3.2,   6.0
Lynn,01630000,         377,         240,  63.7,  13.8,  57.3,  20.7,  24.4,   1.1,   6.0
Lynnfield,01640000,         290,         267,  92.1,  37.9,  91.0,  20.7,  47.6,   0.0,  15.0
MATCH Charter Public School (District),04690000,           7,           7, 100.0,  57.1,  28.6,  42.9,  42.9,   0.0,  29.0
Ma Academy for Math and Science,04680000,          39,          39, 100.0,  56.4, 100.0,  46.2,  38.5,   7.7,  44.0
Malden,01650000,         250,         132,  52.8,  14.4,  36.8,   9.6,  25.6,   0.4,   2.0
Manchester Essex Regional,06980000,         198,         161,  81.3,  19.2,  58.6,  54.0,  46.0,   0.0,  15.0
Mansfield,01670000,         549,         353,  64.3,  15.1,  50.3,  17.3,  23.9,   1.6,   4.0
Marblehead,01680000,         442,         339,  76.7,  12.2,  61.3,  41.0,   0.0,   0.0,   8.0
Marlborough,01700000,         292,         275,  94.2,  64.0,  70.5,  44.5,  36.3,   4.1,  29.0
Marshfield,01710000,         635,         519,  81.7,  15.0,  63.0,  43.3,  27.7,   1.9,   5.0
Martha's Vineyard,07000000,         230,         149,  64.8,  22.6,  56.1,  16.1,  18.7,   3.0,   7.0
Martha's Vineyard Charter (District),04660000,          19,          19, 100.0,   0.0,  52.6,  94.7,   0.0,   0.0,   0.0
Masconomet,07050000,         515,         443,  86.0,   7.4,  83.5,  28.2,  29.7,   5.2,  10.0
Mashpee,01720000,         164,         119,  72.6,  20.7,  68.9,  28.0,  19.5,   5.5,   4.0
Massachusetts Virtual Academy at Greenfield Commonwealth Virtual District,39010000,          70,          20,  28.6,  18.6,  14.3,   1.4,   4.3,   0.0,   0.0
Maynard,01740000,         141,          97,  68.8,  24.1,  56.7,  22.7,  13.5,   0.0,   5.0
Medfield,01750000,         367,         334,  91.0,  12.5,  86.9,   8.2,  62.1,   7.4,   6.0
Medford,01760000,         438,         256,  58.4,  16.7,  51.4,   7.1,  17.4,   0.2,   7.0
Medway,01770000,         335,         311,  92.8,  23.0,  92.2,  14.3,  37.6,   2.1,  15.0
Melrose,01780000,         402,         305,  75.9,  32.3,  71.6,  23.6,  36.3,   0.0,  17.0
Mendon-Upton,07100000,         283,         217,  76.7,  23.3,  62.9,  29.0,  27.6,   1.4,  11.0
Methuen,01810000,         542,         316,  58.3,  11.1,  51.1,  12.5,  26.8,   0.9,   1.0
Middleborough,01820000,         313,         294,  93.9,  49.8,  83.4,  44.1,  47.3,  10.2,  36.0
Milford,01850000,         360,         215,  59.7,  15.6,  53.1,  19.2,  20.8,   1.1,   2.0
