2017-18 Advanced Placement Performance - All Subjects - All Students,,,,,,,,,
District Name,District Code,tests_taken_all,score=1_all,score=2_all,score=3_all,score=4_all,score=5_all,%_score_1-2_all,%_score_3-5_all
Maynard,01740000,     168,      18,      54,      61,      28,       7,  42.9,  57.1
Medfield,01750000,     591,      46,      93,     157,     156,     139,  23.5,  76.5
Medford,01760000,     262,       3,      20,      77,      87,      75,   8.8,  91.2
Medway,01770000,     558,      29,     103,     158,     166,     102,  23.7,  76.3
Melrose,01780000,     728,      78,     147,     187,     199,     117,  30.9,  69.1
Mendon-Upton,07100000,     390,      45,      91,     114,      96,      44,  34.9,  65.1
Methuen,01810000,     598,      89,     154,     163,     122,      70,  40.6,  59.4
Middleborough,01820000,     263,      36,      77,      88,      44,      18,  43.0,  57.0
Milford,01850000,     410,      56,     114,     108,      93,      39,  41.5,  58.5
Millbury,01860000,     124,      20,      37,      37,      21,       9,  46.0,  54.0
Millis,01870000,     184,       7,      30,      69,      50,      28,  20.1,  79.9
Milton,01890000,     703,      19,      80,     200,     226,     178,  14.1,  85.9
Minuteman Regional Vocational Technical,08300000,      17,       4,       4,       3,       4,       2,  47.1,  52.9
Mohawk Trail,07170000,      79,       5,      24,      20,      22,       8,  36.7,  63.3
Monomoy Regional School District,07120000,     189,      12,      47,      72,      37,      21,  31.2,  68.8
Monson,01910000,      82,       5,      27,      21,      20,       9,  39.0,  61.0
Montachusett Regional Vocational Technical,08320000,     134,      21,      55,      36,      18,       4,  56.7,  43.3
Mount Greylock,07150000,     282,      21,      62,      59,      74,      66,  29.4,  70.6
Mystic Valley Regional Charter (District),04700000,       2,,,,,,,
Nantucket,01970000,     197,      14,      52,      63,      36,      32,  33.5,  66.5
Narragansett,07200000,     180,      42,      72,      33,      17,      16,  63.3,  36.7
Nashoba,07250000,     596,      25,      61,     160,     170,     180,  14.4,  85.6
Nashoba Valley Regional Vocational Technical,08520000,     154,      49,      73,      23,       6,       3,  79.2,  20.8
Natick,01980000,     962,      65,     137,     213,     264,     283,  21.0,  79.0
Nauset,06600000,     608,      28,      87,     148,     196,     149,  18.9,  81.1
Needham,01990000,     746,       8,      52,     149,     236,     301,   8.0,  92.0
New Bedford,02010000,     405,      96,     126,     115,      41,      27,  54.8,  45.2
