2017-18 Advanced Placement Participation - All Subjects - Hispanic/Latino,,,,,,,,
District Name,District Code,test_takers_hispanic,tests_taken_hispanic,one_test_hispanic,two_tests_hispanic,three_tests_hispanic,four_tests_hispanic,five_ormore_tests_hispanic
Webster,3160000,8,,,,,,
Wellesley,3170000,11,24,3,5,1,2,0
West Boylston,3220000,1,,,,,,
West Bridgewater,3230000,1,,,,,,
West Springfield,3320000,21,34,12,5,4,0,0
Westborough,3210000,4,,,,,,
Westfield,3250000,15,28,8,4,1,1,1
Westford,3260000,2,,,,,,
Weston,3300000,14,22,9,2,3,0,0
Westport,3310000,2,,,,,,
Westwood,3350000,4,,,,,,
Weymouth,3360000,9,,,,,,
Whitman-Hanson,7800000,6,,,,,,
Wilmington,3420000,5,,,,,,
Winchendon,3430000,1,,,,,,
Winchester,3440000,12,15,10,1,1,0,0
Winthrop,3460000,9,,,,,,
Woburn,3470000,13,23,6,4,3,0,0
Worcester,3480000,433,678,273,100,40,15,5
State Totals,0,"5,341","8,561","3,195","1,360",559,174,53
