2017Staffing Retention Report,,,,,,,,,,
District Name,District Code,Superintendent Total,Superintendent # Retained,Superintendent % Retained,Principal Total,Principal # Retained,Principal % Retained,Teacher Total,Teacher # Retained,Teacher % Retained
Blackstone Valley Regional Vocational Technical,08050000,1,1,100.0,       1,       1,100.0,      99,      85,85.9
Blackstone-Millville,06220000,1,1,100.0,       5,       5,100.0,     139,     117,84.2
Blue Hills Regional Vocational Technical,08060000,1,1,100.0,       1,       1,100.0,      80,      75,93.8
Boston,00350000,,,,,,,,,
Boston Collegiate Charter (District),04490000,1,1,100.0,       3,       1,33.3,      64,      52,81.3
Boston Day and Evening Academy Charter (District),04240000,1,1,100.0,       1,       1,100.0,      22,      19,86.4
Boston Green Academy Horace Mann Charter School (District),04110000,1,1,100.0,       1,       1,100.0,      43,      34,79.1
Boston Preparatory Charter Public (District),04160000,1,1,100.0,       1,       0,0.0,      38,      22,57.9
Boston Renaissance Charter Public (District),04810000,1,0,0.0,       1,       1,100.0,      76,      52,68.4
Bourne,00360000,1,1,100.0,       4,       4,100.0,     154,     138,89.6
Boxford,00380000,1,0,0.0,       2,       2,100.0,      67,      63,94.0
Boylston,00390000,1,1,100.0,       1,       1,100.0,      25,      18,72.0
Braintree,00400000,1,1,100.0,      10,       8,80.0,     434,     388,89.4
Brewster,00410000,1,1,100.0,       2,       2,100.0,      50,      42,84.0
Bridge Boston Charter School (District),04170000,1,1,100.0,       1,       1,100.0,      21,      16,76.2
Bridgewater-Raynham,06250000,1,1,100.0,       7,       7,100.0,     335,     311,92.8
Brimfield,00430000,1,1,100.0,       1,       1,100.0,      27,      22,81.5
Bristol County Agricultural,09100000,1,1,100.0,       1,       1,100.0,      35,      32,91.4
Bristol-Plymouth Regional Vocational Technical,08100000,1,0,0.0,       1,       1,100.0,     100,      91,91.0
Brockton,00440000,1,1,100.0,      22,      19,86.4,"   1,104","   1,020",92.4
Brooke Charter School (District),04280000,1,0,0.0,       1,       1,100.0,      39,      32,82.1
Brookfield,00450000,1,1,100.0,       1,       1,100.0,      26,      22,84.6
Brookline,00460000,1,0,0.0,      13,       8,61.5,     658,     572,86.9
Burlington,00480000,1,1,100.0,       7,       7,100.0,     314,     290,92.4
Cambridge,00490000,1,0,0.0,      18,      16,88.9,     668,     565,84.6
Canton,00500000,1,0,0.0,       6,       6,100.0,     262,     228,87.0
