2017-18 Plans of High School Graduates Report (District) ,,,,,,,,,,,,
District Name,District Code,4 Year Private College,4 Year Public College,2 Year Private College,2 Year Public College,Other Post Secondary,Apprenticeship,Work,Military,Other,Unknown,Total Count
Lowell Middlesex Academy Charter (District),04580000,   0.0,   0.0,   0.0,  41.7,   8.3,   0.0,  41.7,   8.3,   0.0,   0.0,      12
Ludlow,01610000,  30.7,  19.3,   0.5,  36.6,   0.5,   0.0,   5.4,   4.5,   1.5,   1.0,     202
Lunenburg,01620000,  13.5,  59.4,   0.0,   9.4,   3.1,   0.0,   6.3,   0.0,   0.0,   8.3,      96
Lynn,01630000,  10.9,  23.6,   0.2,  40.1,   0.9,   0.0,  14.4,   4.7,   3.3,   1.9,     983
Lynnfield,01640000,  48.4,  41.4,   1.3,   5.1,   0.6,   0.0,   0.0,   1.3,   0.0,   1.9,     157
MATCH Charter Public School (District),04690000,  28.6,  33.8,   2.6,  20.8,   0.0,   0.0,   5.2,   0.0,   0.0,   9.1,      77
Ma Academy for Math and Science,04680000,  71.7,  21.7,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   6.5,   0.0,      46
Malden,01650000,  23.6,  31.9,   1.3,  26.1,   2.2,   0.7,   7.2,   2.7,   3.1,   1.1,     445
Manchester Essex Regional,06980000,  58.3,  37.5,   1.0,   1.0,   0.0,   0.0,   0.0,   1.0,   1.0,   0.0,      96
Mansfield,01670000,  36.3,  49.1,   0.0,   6.2,   3.5,   0.0,   0.7,   1.0,   2.1,   1.0,     289
Marblehead,01680000,   2.9,   3.7,   0.8,  84.0,   0.4,   0.0,   2.0,   0.0,   0.0,   6.1,     244
Marion,01690000,,,,,,,,,,,       2
Marlborough,01700000,  22.6,  37.4,   0.4,  22.6,   1.1,   0.0,   5.2,   1.1,   6.3,   3.3,     270
Marshfield,01710000,  33.4,  43.1,   0.3,   8.2,   2.6,   0.3,   5.9,   2.3,   2.1,   1.8,     341
Martha's Vineyard,07000000,  45.8,  24.6,   0.0,  10.6,   2.8,   0.0,  12.7,   0.0,   2.8,   0.7,     142
Martha's Vineyard Charter (District),04660000,  63.6,   9.1,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,  18.2,   9.1,      11
Masconomet,07050000,  44.6,  35.1,   0.0,   6.1,   0.0,   0.0,   0.3,   0.0,   0.0,  13.9,     296
Mashpee,01720000,  30.0,  37.0,   0.0,  16.0,   0.0,   1.0,   9.0,   4.0,   2.0,   1.0,     100
Massachusetts Virtual Academy at Greenfield Commonwealth Virtual District,39010000,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0, 100.0,   0.0,      36
Maynard,01740000,  37.8,  37.8,   1.1,   8.9,   1.1,   0.0,   8.9,   1.1,   2.2,   1.1,      90
Medfield,01750000,  65.6,  31.3,   0.0,   0.9,   0.0,   0.0,   0.4,   0.0,   1.8,   0.0,     227
Medford,01760000,  26.3,  34.0,   0.0,  22.0,   3.1,   0.0,  11.1,   1.7,   1.7,   0.0,     350
Medway,01770000,  44.9,  39.9,   0.0,   4.0,   1.5,   0.0,   1.0,   1.5,   0.5,   6.6,     198
Melrose,01780000,  36.6,  48.2,   0.0,   7.1,   0.9,   0.0,   1.8,   0.4,   0.9,   4.0,     224
Mendon-Upton,07100000,  41.7,  36.4,   1.3,   6.0,   2.0,   0.7,   5.3,   1.3,   1.3,   4.0,     151
Methuen,01810000,  22.0,  24.4,   0.4,  30.3,   3.4,   0.0,   7.6,   2.0,   0.2,   9.6,     446
Middleborough,01820000,  26.0,  31.1,   0.0,  18.6,   0.0,   0.0,  15.8,   2.8,   0.0,   5.6,     177
Milford,01850000,  26.2,  39.0,   0.7,  17.2,   0.4,   0.7,   7.5,   2.2,   1.1,   4.9,     267
Millbury,01860000,  21.1,  41.3,   0.9,  17.4,   6.4,   0.0,   4.6,   2.8,   2.8,   2.8,     109
Millis,01870000,  45.0,  42.2,   0.0,   5.5,   0.9,   0.0,   5.5,   0.0,   0.0,   0.9,     109
Milton,01890000,  47.5,  35.4,   0.4,  11.0,   0.8,   0.0,   1.1,   1.1,   0.4,   2.3,     263
Minuteman Regional Vocational Technical,08300000,  17.2,  25.8,   0.0,  16.4,   0.0,   0.0,  35.9,   1.6,   2.3,   0.8,     128
Mohawk Trail,07170000,  13.8,  20.7,   0.0,  43.1,   1.7,   1.7,  13.8,   1.7,   0.0,   3.4,      58
Monomoy Regional School District,07120000,  31.5,  31.5,   0.0,  18.9,   3.6,   0.0,  10.8,   2.7,   0.0,   0.9,     111
Monson,01910000,  38.5,  23.1,   0.0,  30.8,   1.5,   0.0,   3.1,   1.5,   0.0,   1.5,      65
Montachusett Regional Vocational Technical,08320000,  11.0,  25.9,   0.3,  19.5,   3.0,   0.0,  22.9,   5.5,  11.6,   0.3,     328
Mount Greylock,07150000,  50.0,  11.3,   0.0,  22.5,   5.0,   0.0,   1.3,   1.3,   8.8,   0.0,      80
Mystic Valley Regional Charter (District),04700000,  48.3,  48.3,   0.0,   3.4,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,      89
Nantucket,01970000,  44.4,  24.2,   0.8,   3.2,   2.4,   0.0,   8.1,   1.6,   8.9,   6.5,     124
Narragansett,07200000,  21.3,  24.7,   0.0,  22.5,   3.4,   0.0,  13.5,   5.6,   0.0,   9.0,      89
Nashoba,07250000,  44.8,  35.9,   0.0,   7.3,   1.9,   0.0,   3.1,   0.8,   1.2,   5.0,     259
Nashoba Valley Regional Vocational Technical,08520000,  19.2,  23.4,   0.6,  23.4,   3.6,   0.0,  28.1,   1.8,   0.0,   0.0,     167
Natick,01980000,  43.4,  44.2,   0.0,   6.3,   1.3,   0.3,   2.3,   1.3,   0.8,   0.3,     394
Nauset,06600000,  44.3,  30.7,   0.0,  13.2,   0.5,   0.0,   7.1,   1.4,   2.8,   0.0,     212
Needham,01990000,  55.3,  33.8,   0.0,   2.0,   1.5,   0.3,   2.0,   0.0,   1.5,   3.5,     396
New Bedford,02010000,   8.5,  17.0,   0.4,  39.6,   2.1,   0.0,  27.9,   3.9,   0.7,   0.0,     283
Newburyport,02040000,  36.8,  47.4,   0.5,   5.3,   1.1,   0.0,   4.7,   0.0,   0.5,   3.7,     190
