2017-18 Race/Ethnicity and Gender Staffing Report  - District - All,,,,,,,,,,,,
District Name,District Code,%_staff_aa,%_staff_asian,%_staff_hispanic,%_staff_white,%_staff_native,%_staff_islander,%_staff_multirace,%_staff_female,%_staff_male,staff_FTE,%_staff_notwhite
Hamilton-Wenham,6750000,0,1.7,1.1,95.4,0,0,1.8,83.4,16.6,275.4,4.6
Hampden Charter School of Science East (District),4990000,4.5,5.3,4.5,85.7,0,0,0,49.4,50.6,66.3,14.3
Hampden-Wilbraham,6800000,0.8,0.3,0.3,98.7,0,0,0,82,18,398.7,1.3
Hampshire,6830000,0.9,0.9,0,98.3,0,0,0,70.1,29.9,115.1,1.7
Hancock,1210000,8.8,0,0,91.2,0,0,0,82.4,17.6,11.4,8.8
Hanover,1220000,0.9,0.3,0.9,97.9,0,0,0,79.3,20.7,337,2.1
Harvard,1250000,0.7,1,1.3,96.3,0,0.7,0,80.8,19.2,148.4,3.7
Hatfield,1270000,0,0,0,100,0,0,0,79.1,20.9,75.2,0
Haverhill,1280000,0.6,0.7,3.8,94.9,0,0,0,82.1,17.9,987.4,5.1
Hawlemont,6850000,0,0.9,0,99.1,0,0,0,91.2,8.8,22,0.9
Helen Y. Davis Leadership Academy Charter Public (District),4190000,53.3,3.3,30,6.7,0,0,6.7,46.7,53.3,30,93.3
Hill View Montessori Charter Public (District),4550000,0,2,2,94.1,0,0,2,86.3,13.7,51,5.9
Hilltown Cooperative Charter Public (District),4500000,0,0,2.8,97.2,0,0,0,82.5,17.5,41.2,2.8
Hingham,1310000,0.8,0.6,0.7,97.1,0,0,0.7,82.9,17.1,542.3,2.9
Holbrook,1330000,1.1,0.7,0.7,96.6,0,0,0.7,83.8,16.2,134.2,3.4
Holland,1350000,0,0,0,100,0,0,0,95.1,4.9,32.4,0
Holliston,1360000,0,1,0.6,97.9,0.2,0,0.2,85.7,14.3,408.2,2.1
