2018 Advanced Course Completion Report (District)  - Female,,,,,,,,,,
District Name,District Code,#_11_12_student_female,# _advanced_students_female,%_complete_advanced_female,%_ELA_female,%_math_female,%_science_tech_female,%_history_socialscience_female,%_arts_female,%_other_subjects_female
Dartmouth,00720000,         260,         177,  68.1,  19.6,  44.2,   9.6,  14.2,   7.3,   1.0
Dedham,00730000,         170,         125,  73.5,  25.9,  71.8,  21.8,  31.2,   1.2,   9.0
Dennis-Yarmouth,06450000,         199,          84,  42.2,  28.1,  14.1,   6.0,  34.7,   2.5,   2.0
Dighton-Rehoboth,06500000,         185,         139,  75.1,  31.4,  68.6,  13.0,  41.1,   9.7,  15.0
Douglas,00770000,          93,          52,  55.9,  32.3,  44.1,  18.3,  11.8,   0.0,   6.0
Dover-Sherborn,06550000,         164,         164, 100.0,  75.0,  98.2,  57.3,  68.3,  44.5,  99.0
Dracut,00790000,         222,         152,  68.5,  20.3,  55.9,  23.0,  27.0,   0.0,   4.0
Dudley-Charlton Reg,06580000,         305,         181,  59.3,  19.3,  46.2,  39.3,   7.2,   0.0,   8.0
Duxbury,00820000,         270,         268,  99.3,  61.9,  91.5,  47.8,  58.1,   6.3,  59.0
East Bridgewater,00830000,         159,         120,  75.5,  39.0,  61.6,  15.7,   0.0,   5.7,   2.0
East Longmeadow,00870000,         214,         158,  73.8,  10.3,  60.7,  17.3,  30.4,   2.8,   5.0
Easthampton,00860000,         110,          63,  57.3,  57.3,  31.8,   6.4,   0.0,   0.9,   0.0
Easton,00880000,         340,         220,  64.7,   2.9,  59.4,  31.5,  31.2,   0.0,   0.0
Edward M. Kennedy Academy for Health Careers (Horace Mann Charter) (District),04520000,         108,          85,  78.7,  29.6,  71.3,  10.2,   7.4,   0.0,   0.0
Essex North Shore Agricultural and Technical School District,08170000,         382,         251,  65.7,  23.0,  49.5,  31.2,  19.1,   0.0,  15.0
Everett,00930000,         509,         287,  56.4,  15.3,  41.5,  10.0,  16.5,   0.0,  14.0
Excel Academy Charter (District),04100000,          55,          41,  74.5,  27.3,  61.8,  32.7,  12.7,   9.1,  29.0
