2017-18  Educator Evaluation Performance (District) - All Educators,,,,,,,,
District Name,District Code,# of Educators to be Evaluated,# Evaluated,% Evaluated,% Exemplary,% Proficient,% Needs Improvement,% Unsatisfactory
Lawrence Family Development Charter (District),4540000,,,,,,,
Lee,1500000,84,84,100,3.6,94,2.4,0
Leicester,1510000,142,142,100,14.8,81.7,2.1,1.4
Lenox,1520000,97,97,100,3.1,96.9,0,0
Leominster,1530000,490,462,94.3,11.3,84.8,3.7,0.2
Leverett,1540000,23,21,91.3,23.8,76.2,0,0
Lexington,1550000,774,767,99.1,0.4,97.7,1.8,0.1
Libertas Academy Charter School (District),35140000,,,,,,,
Lincoln,1570000,149,148,99.3,8.1,91.9,0,0
Lincoln-Sudbury,6950000,171,171,100,39.2,59.6,1.2,0
Littleton,1580000,138,133,96.4,43.6,54.9,1.5,0
Longmeadow,1590000,287,284,99,38.4,60.6,1.1,0
Lowell,1600000,"1,271","1,132",89.1,17.5,80.7,1.4,0.4
Lowell Community Charter Public (District),4560000,,,,,,,
Lowell Middlesex Academy Charter (District),4580000,16,16,100,,,,
Ludlow,1610000,286,272,95.1,17.6,81.3,1.1,0
Lunenburg,1620000,141,141,100,9.9,85.1,5,0
Lynn,1630000,"1,346","1,213",90.1,4.8,87.8,6.8,0.6
Lynnfield,1640000,208,202,97.1,16.3,83.2,0.5,0
MATCH Charter Public School (District),4690000,19,19,100,,,,
Ma Academy for Math and Science,4680000,9,8,88.9,,,,
Malden,1650000,551,538,97.6,16.5,79.2,3.3,0.9
Manchester Essex Regional,6980000,147,140,95.2,42.9,55,1.4,0.7
Mansfield,1670000,353,352,99.7,15.1,84.4,0.6,0
Marblehead,1680000,323,321,99.4,0.9,96.9,2.2,0
Marblehead Community Charter Public (District),4640000,,,,,,,
Marion,1690000,45,45,100,33.3,66.7,0,0
Marlborough,1700000,471,470,99.8,10,86.4,3.6,0
Marshfield,1710000,392,383,97.7,14.1,84.6,1.3,0
Martha's Vineyard,7000000,96,96,100,29.2,69.8,1,0
Martha's Vineyard Charter (District),4660000,,,,,,,
Martin Luther King Jr. Charter School of Excellence (District),4920000,40,40,100,37.5,60,2.5,0
Masconomet,7050000,164,161,98.2,,,,
Mashpee,1720000,170,166,97.6,28.9,69.9,0.6,0.6
Massachusetts Virtual Academy at Greenfield Commonwealth Virtual District,39010000,45,42,93.3,4.8,90.5,4.8,0
Mattapoisett,1730000,53,51,96.2,21.6,78.4,0,0
Maynard,1740000,133,125,94,12.8,83.2,4,0
Medfield,1750000,254,251,98.8,20.3,77.7,2,0
Medford,1760000,477,467,97.9,19.3,78.8,1.7,0.2
Medway,1770000,212,202,95.3,18.8,76.7,4,0.5
Melrose,1780000,316,300,94.9,15.7,73,11,0.3
Mendon-Upton,7100000,187,183,97.9,13.7,80.3,5.5,0.5
Methuen,1810000,591,583,98.6,2.2,95,2.4,0.3
Middleborough,1820000,268,217,81,15.2,82.9,1.8,0
Middleton,1840000,80,80,100,27.5,72.5,0,0
Milford,1850000,391,388,99.2,9.3,86.3,4.4,0
Millbury,1860000,159,156,98.1,20.5,77.6,1.9,0
Millis,1870000,114,114,100,35.1,64,0.9,0
Milton,1890000,386,374,96.9,18.7,75.4,5.3,0.5
Minuteman Regional Vocational Technical,8300000,99,99,100,16.2,82.8,1,0
Mohawk Trail,7170000,108,102,94.4,26.5,67.6,5.9,0
Monomoy Regional School District,7120000,212,212,100,25.5,72.6,1.4,0.5
Monson,1910000,102,67,65.7,20.9,74.6,4.5,0
Montachusett Regional Vocational Technical,8320000,135,135,100,11.9,85.9,2.2,0
