2017-18 Advanced Placement Participation - All Subjects - All Students,,,,,,,,,
District Name,District Code,test_takers_all,tests_taken_all,one_test_all,two_tests_all,three_tests_all,four_tests_all,five_ormore_tests_all,
Pentucket,07450000,     175,     320,      81,      58,      26,       6,       4,
Pioneer Charter School of Science (District),04940000,      42,      79,      18,      13,       9,       2,       0,
Pioneer Charter School of Science II (PCSS-II) (District),35060000,      65,     119,      34,      13,      13,       5,       0,
Pioneer Valley,07500000,      31,      50,      15,      13,       3,       0,       0,
Pioneer Valley Chinese Immersion Charter (District),04970000,       1,,,,,,,
Pioneer Valley Performing Arts Charter Public (District),04790000,       6,,,,,,,
Pittsfield,02360000,     344,     550,     199,      99,      34,       9,       3,
Plymouth,02390000,     536,"   1,102",     218,     139,     135,      24,      20,
Prospect Hill Academy Charter (District),04870000,     106,     220,      49,      25,      18,       8,       6,
Quabbin,07530000,     100,     138,      63,      36,       1,       0,       0,
Quaboag Regional,07780000,     102,     186,      47,      31,      19,       5,       0,
Quincy,02430000,     373,     861,     148,      86,      65,      37,      37,
Ralph C Mahar,07550000,      55,      93,      33,      13,       5,       2,       2,
Randolph,02440000,     147,     257,      61,      62,      24,       0,       0,
Reading,02460000,     199,     386,     103,      47,      19,      18,      12,
Revere,02480000,     319,     531,     166,     107,      34,      11,       1,
Rising Tide Charter Public (District),04830000,      31,      59,      13,       9,       8,       1,       0,
Rockland,02510000,     119,     206,      64,      28,      23,       3,       1,
Rockport,02520000,      56,      99,      31,       9,      14,       2,       0,
Roxbury Preparatory Charter (District),04840000,     228,     484,      79,      73,      45,      31,       0,
Sabis International Charter (District),04410000,      60,     112,      29,      18,       7,       4,       2,
Salem,02580000,     182,     322,      92,      53,      27,       7,       3,
Salem Academy Charter (District),04850000,      72,     134,      40,      11,      12,       9,       0,
Sandwich,02610000,     220,     308,     145,      63,      11,       1,       0,
Saugus,02620000,     152,     294,      66,      46,      28,       9,       3,
Scituate,02640000,     249,     505,      93,      82,      51,      20,       3,
Seekonk,02650000,     170,     289,      80,      63,      25,       2,       0,
Sharon,02660000,     305,     703,     104,      96,      54,      23,      28,
Shrewsbury,02710000,     384,     767,     136,     151,      68,      20,       9,
Silver Lake,07600000,     272,     604,      93,      87,      44,      37,      11,
Sizer School: A North Central Charter Essential (District),04740000,       1,,,,,,,
Somerset Berkley Regional School District,07630000,     208,     379,      97,      70,      25,      13,       3,
Somerville,02740000,     285,     558,     139,      62,      45,      35,       4,
South Hadley,02780000,     151,     272,      66,      56,      22,       7,       0,
South Middlesex Regional Vocational Technical,08290000,      43,      65,      25,      14,       4,       0,       0,
South Shore Charter Public (District),04880000,      52,      79,      30,      19,       1,       2,       0,
Southbridge,02770000,      53,      84,      32,      14,       4,       3,       0,
Southeastern Regional Vocational Technical,08720000,     150,     217,      90,      53,       7,       0,       0,
Southern Berkshire,07650000,      29,      42,      17,      11,       1,       0,       0,
Southern Worcester County Regional Vocational Technical,08760000,     103,     144,      71,      24,       7,       1,       0,
Southwick-Tolland-Granville Regional School District,07660000,      97,     143,      63,      24,       8,       2,       0,
Spencer-E Brookfield,07670000,      36,      67,      18,       7,       9,       2,       0,
Springfield,02810000,     655,"   1,061",     385,     167,      74,      25,       4,
Stoneham,02840000,     132,     253,      60,      41,      20,       4,       7,
Stoughton,02850000,     145,     244,      70,      52,      22,       1,       0,
Sutton,02900000,     165,     304,      74,      58,      21,       9,       3,
Swampscott,02910000,     163,     373,      68,      40,      24,       9,      22,
Swansea,02920000,     131,     237,      62,      43,      17,       7,       2,
TEC Connections Academy Commonwealth Virtual School District,39020000,      41,      66,      23,      11,       7,       0,       0,
Tantasqua,07700000,     224,     354,     135,      53,      32,       3,       1,
Taunton,02930000,     337,     582,     177,      94,      48,      17,       1,
Tewksbury,02950000,     215,     322,     125,      74,      15,       1,       0,
Tri-County Regional Vocational Technical,08780000,      86,     128,      57,      16,      13,       0,       0,
Triton,07730000,     140,     269,      69,      35,      20,      11,       5,
Tyngsborough,03010000,      85,     104,      67,      17,       1,       0,       0,
Upper Cape Cod Regional Vocational Technical,08790000,      18,      21,      15,       3,       0,       0,       0,
Uxbridge,03040000,      88,     176,      30,      37,      12,       9,       0,
Wachusett,07750000,     373,     657,     212,      79,      52,      21,       9,
Wakefield,03050000,     196,     364,      87,      63,      33,      13,       0,
Walpole,03070000,     205,     422,      86,      51,      44,      18,       6,
Waltham,03080000,     233,     470,      91,      77,      46,      11,       8,
Ware,03090000,      43,      57,      30,      12,       1,       0,       0,
Wareham,03100000,      71,     153,      28,      21,      11,       6,       5,
Watertown,03140000,     111,     187,      61,      31,      14,       3,       2,
Wayland,03150000,     237,     488,     111,      51,      40,      22,      13,
Webster,03160000,     111,     204,      47,      39,      21,       4,       0,
Wellesley,03170000,     365,     734,     163,      81,      83,      32,       6,
West Boylston,03220000,      64,      82,      48,      14,       2,       0,       0,
West Bridgewater,03230000,     113,     209,      33,      68,       9,       2,       1,
West Springfield,03320000,     199,     373,      81,      74,      32,      12,       0,
Westborough,03210000,     284,     539,     139,      76,      39,      22,       8,
Westfield,03250000,     296,     553,     147,      77,      44,      20,       8,
Westford,03260000,     436,     878,     180,     131,      78,      34,      13,
Weston,03300000,     311,     608,     148,      87,      35,      24,      17,
Westport,03310000,      77,     137,      35,      26,      14,       2,       0,
Westwood,03350000,     335,     671,     144,     102,      50,      25,      14,
Weymouth,03360000,     235,     437,     108,      73,      40,       9,       5,
Whitman-Hanson,07800000,     355,     661,     161,     108,      64,      18,       4,
Wilmington,03420000,     199,     375,     103,      51,      24,      11,      10,
Winchendon,03430000,      57,     119,      18,      19,      17,       3,       0,
Winchester,03440000,     317,     716,     128,      68,      60,      37,      24,
Winthrop,03460000,     132,     263,      55,      31,      39,       6,       1,
Woburn,03470000,     240,     385,     148,      47,      37,       8,       0,
Worcester,03480000,"   1,675","   2,825",     930,     443,     214,      75,      13,
State Totals,00000000,"  55,770"," 102,989","  27,078","  16,080","   8,236","   3,120","   1,256",
