2017-18 Advanced Placement Participation - All Subjects - Male,,,,,,,,,
District Name,District Code,test_takers_male,tests_taken_male,one_test_male,two_tests_male,three_tests_male,four_tests_male,five_ormore_tests_male,
Shrewsbury,02710000,     139,     284,      53,      46,      26,       9,       5,
Silver Lake,07600000,     120,     292,      39,      27,      25,      22,       7,
Sizer School: A North Central Charter Essential (District),04740000,       1,,,,,,,
Somerset Berkley Regional School District,07630000,      79,     147,      39,      22,      10,       6,       2,
Somerville,02740000,     143,     275,      73,      28,      25,      14,       3,
South Hadley,02780000,      60,     115,      26,      20,       7,       7,       0,
South Middlesex Regional Vocational Technical,08290000,      20,      29,      14,       3,       3,       0,       0,
South Shore Charter Public (District),04880000,      25,      43,      12,      10,       1,       2,       0,
Southbridge,02770000,      13,      18,      10,       2,       0,       1,       0,
Southeastern Regional Vocational Technical,08720000,      62,      89,      40,      17,       5,       0,       0,
Southern Berkshire,07650000,      11,      16,       6,       5,       0,       0,       0,
Southern Worcester County Regional Vocational Technical,08760000,      64,      84,      48,      12,       4,       0,       0,
Southwick-Tolland-Granville Regional School District,07660000,      37,      59,      20,      13,       3,       1,       0,
Spencer-E Brookfield,07670000,      13,      24,       5,       6,       1,       1,       0,
Springfield,02810000,     265,     429,     160,      59,      35,       9,       2,
Stoneham,02840000,      37,      65,      18,      14,       2,       2,       1,
Stoughton,02850000,      48,      75,      27,      15,       6,       0,       0,
Sutton,02900000,      75,     141,      34,      26,       8,       4,       3,
Swampscott,02910000,      73,     173,      30,      14,      16,       2,      11,
Swansea,02920000,      58,      97,      32,      18,       4,       3,       1,
TEC Connections Academy Commonwealth Virtual School District,39020000,       9,,,,,,,
Tantasqua,07700000,     100,     167,      56,      22,      21,       1,       0,
Taunton,02930000,     123,     204,      71,      31,      14,       6,       1,
Tewksbury,02950000,      95,     139,      56,      34,       5,       0,       0,
Tri-County Regional Vocational Technical,08780000,      38,      61,      23,       7,       8,       0,       0,
Triton,07730000,      58,     106,      34,      12,       4,       5,       3,
Tyngsborough,03010000,      38,      51,      26,      11,       1,       0,       0,
Upper Cape Cod Regional Vocational Technical,08790000,       7,,,,,,,
Uxbridge,03040000,      41,      76,      17,      17,       3,       4,       0,
Wachusett,07750000,     152,     261,      91,      28,      23,       5,       5,
Wakefield,03050000,      76,     150,      32,      23,      12,       9,       0,
Walpole,03070000,      77,     150,      30,      27,      15,       4,       1,
Waltham,03080000,     100,     220,      32,      37,      19,       6,       6,
Ware,03090000,      17,      23,      12,       4,       1,       0,       0,
Wareham,03100000,      33,      76,      12,      10,       4,       4,       3,
Watertown,03140000,      53,      87,      27,      20,       4,       2,       0,
Wayland,03150000,     124,     265,      60,      22,      19,      13,      10,
Webster,03160000,      48,      90,      21,      14,      11,       2,       0,
Wellesley,03170000,     157,     320,      67,      38,      35,      15,       2,
West Boylston,03220000,      29,      36,      23,       5,       1,       0,       0,
West Bridgewater,03230000,      28,      52,       8,      16,       4,       0,       0,
West Springfield,03320000,      80,     147,      35,      28,      12,       5,       0,
Westborough,03210000,     135,     244,      69,      38,      17,       8,       3,
Westfield,03250000,     118,     240,      52,      33,      15,      13,       5,
Westford,03260000,     203,     425,      79,      58,      39,      22,       5,
Weston,03300000,     154,     309,      72,      41,      18,      14,       9,
Westport,03310000,      26,      44,      12,      10,       4,       0,       0,
Westwood,03350000,     124,     257,      47,      43,      19,      10,       5,
Weymouth,03360000,     109,     201,      55,      31,      14,       5,       4,
Whitman-Hanson,07800000,     130,     246,      59,      36,      28,       4,       3,
Wilmington,03420000,      87,     160,      49,      20,       9,       4,       5,
Winchendon,03430000,      15,      33,       4,       4,       7,       0,       0,
Winchester,03440000,     177,     436,      66,      30,      37,      25,      19,
Winthrop,03460000,      57,     104,      29,      14,      10,       3,       1,
Woburn,03470000,      75,     124,      47,      12,      11,       5,       0,
Worcester,03480000,     705,"   1,208",     390,     176,      96,      37,       6,
State Totals,00000000,"  23,487","  44,464","  11,327","   6,399","   3,575","   1,487",     699,
