2017-18 Class Size by Gender and Selected Population ,,,,,,,,
District Name,District Code,Number of Classes,Average Class Size,% Class Female,% Class Male,% Class ELL,% Class Disabled,% Class Low Income
Hanover,1220000,"1,559",19.1,47.2,52.7,0.8,18,7.8
Harvard,1250000,552,16.8,49.4,50.5,1.6,10.7,3.8
Hatfield,1270000,264,14.3,47.5,52.3,0,19.5,13.1
Haverhill,1280000,"4,250",18.3,48.1,51.9,10.5,22.4,45.1
Hawlemont,6850000,39,20,58.8,41.3,0,23.8,50
Helen Y. Davis Leadership Academy Charter Public (District),4190000,85,19.2,46.6,53.4,8.2,27.2,56.5
Hill View Montessori Charter Public (District),4550000,113,20.3,57.8,42.2,7,18.6,16.9
Hilltown Cooperative Charter Public (District),4500000,78,25.8,46.3,53.7,0,20.2,15.1
Hingham,1310000,"1,920",18.6,48.3,51.7,0.4,12.2,5
Holbrook,1330000,449,18.1,48.3,51.7,7.5,18.9,31.6
Holland,1350000,65,17.9,48.5,51.5,0,15.3,26
Holliston,1360000,"1,520",16.7,48.5,51.5,2.4,16.7,6.9
Holyoke,1370000,"2,027",18.7,47.2,52.8,23.1,25.1,75.8
Holyoke Community Charter (District),4530000,197,24.6,55.9,44.1,15.5,19.6,65.9
Hopedale,1380000,590,16.5,48.1,51.9,1.4,19.9,10.7
Hopkinton,1390000,"1,896",19.6,49.5,50.5,4.3,12.3,4.5
Hudson,1410000,"1,463",17.2,50.7,49.3,9.7,15.2,20.9
Hull,1420000,546,14.2,46.7,53.3,0.4,20.6,27.9
Innovation Academy Charter (District),4350000,465,18.1,51.7,48.3,1.9,18.6,8.6
Ipswich,1440000,958,16.9,49.7,50.2,2.3,16.8,13.3
KIPP Academy Boston Charter School (District),4630000,92,38.5,46.8,53.2,30.8,21.4,62.8
KIPP Academy Lynn Charter (District),4290000,426,23.9,50.2,49.8,28.1,13.3,46.5
King Philip,6900000,822,19.3,47.7,52.2,0.5,13.2,8.1
Kingston,1450000,381,20.7,48.7,51.2,1.3,17,16.1
Lanesborough,1480000,125,16.2,55.1,44.9,0,22,24.3
Lawrence,1490000,"5,272",19.6,48.1,51.9,36.6,19.5,62.4
Lawrence Family Development Charter (District),4540000,327,18.2,54.2,45.8,28.9,7.5,53.7
Lee,1500000,405,13.3,49.3,50.7,4.1,11.6,35.5
Leicester,1510000,703,18.5,45.9,54.1,2.7,16.8,24.8
Lenox,1520000,526,13.1,50.4,49.6,2.5,10.2,15.6
Leominster,1530000,"2,859",20.3,47.8,52.2,9.8,22.9,37.7
Leverett,1540000,45,16,40.9,59.1,0,14.2,22.8
Lexington,1550000,"2,874",20,48.8,51.2,6.8,13,5.3
Libertas Academy Charter School (District),35140000,31,28.3,44,56,45.1,25.3,79.1
Lincoln,1570000,578,15.9,49,51,3.7,21.8,5.7
Lincoln-Sudbury,6950000,"1,249",18.2,48.6,51.4,0.3,16.5,5.5
Littleton,1580000,706,18.1,52.3,47.7,1.7,16.1,7.8
Longmeadow,1590000,"1,330",19.3,48.6,51.4,0.7,19.2,6.9
Lowell,1600000,"8,594",19.5,48.2,51.8,24.6,16.6,52.7
Lowell Community Charter Public (District),4560000,254,21,51.1,48.9,53.3,17.2,44.9
Lowell Middlesex Academy Charter (District),4580000,129,12.9,45,55,4.6,29.4,64.2
Ludlow,1610000,"1,185",17.5,49.3,50.7,3,15.4,25.6
Lunenburg,1620000,807,20.2,47.9,52.1,2.3,15.8,14.2
Lynn,1630000,"4,830",20.6,47.4,52.6,23.3,16.4,56.7
Lynnfield,1640000,967,15.1,49.4,50.6,1.6,17.8,6.9
MATCH Charter Public School (District),4690000,407,20.3,52.5,47.5,31.2,22.7,57.3
Ma Academy for Math and Science,4680000,24,16.7,50,50,0,0,0
Malden,1650000,"2,882",20.2,48,52,22,15.8,42.1
Manchester Essex Regional,6980000,680,15.9,50.8,49.2,0.6,9.4,6.6
Mansfield,1670000,"1,619",18.4,48.1,51.9,2.4,14.3,13.3
Marblehead,1680000,"1,562",17.8,48.9,51.1,4.2,18.7,9.8
Marblehead Community Charter Public (District),4640000,90,20.7,39.6,60.4,0.4,25.7,10.4
Marion,1690000,166,19.2,46.7,53.3,0.7,20.7,20.5
