2017-18 Enrollment By Race/Gender Report (District) ,,,,,,,,,,,
District Name,District Code,enroll_aa,enroll_asian,enroll_hispanic,enroll_white,enroll_native,enroll_islander,enroll_multirace,%_enroll_male,%_enroll_female,enroll_not_white
Mansfield,1670000,3.2,6.1,4.4,82.6,0.1,0,3.6,51.9,48.1,17.4
Marblehead,1680000,2.9,1.7,6.5,86.1,0.1,0,2.6,50.9,49.1,13.9
Marblehead Community Charter Public (District),4640000,4.4,4.4,1.3,86.5,0.9,0,2.6,60.7,39.3,13.5
Marion,1690000,2.2,1.3,3.5,87.9,0.4,0,4.6,54,46,12.1
Marlborough,1700000,3.4,3.7,46.8,43.4,0.1,0,2.5,52,48,56.6
Marshfield,1710000,0.4,1.1,2.9,93.6,0.2,0.1,1.6,51.1,48.8,6.4
Martha's Vineyard,7000000,3.6,1.4,13.1,74.9,2.1,0.3,4.6,50.9,48.9,25.1
Martha's Vineyard Charter (District),4660000,3.3,1.1,10.3,73.9,2.2,0,9.2,45.7,54.3,26.1
Martin Luther King Jr. Charter School of Excellence (District),4920000,37.1,1.7,53.7,2.5,0,0,5,47.9,52.1,97.5
Masconomet,7050000,0.4,3.5,2.3,91.4,0.2,0.1,2.1,48.6,51.4,8.6
Mashpee,1720000,4.2,1.7,4.4,75.2,6.4,0.1,8,51.1,48.9,24.8
Massachusetts Virtual Academy at Greenfield Commonwealth Virtual District,39010000,9.9,1.2,20,60.3,0.2,0.7,7.7,47.2,52.8,39.7
MATCH Charter Public School (District),4690000,47,0.9,46.9,2.4,0.6,0.1,2.1,47.8,52.2,97.6
Mattapoisett,1730000,1.4,1.8,3.2,89.2,0,0,4.5,51.4,48.6,10.8
Maynard,1740000,2.6,2,12.1,78.3,0.1,0,4.9,50.7,49.3,21.7
Medfield,1750000,1.1,4.2,3.9,87.2,0.3,0.1,3.2,50.7,49.3,12.8
Medford,1760000,13.4,9.6,11.2,60.7,0.3,0,4.8,51.2,48.8,39.3
Medway,1770000,1.5,2.6,3.3,90.3,0.1,0.1,2.1,49.8,50.2,9.7
Melrose,1780000,6.3,4.8,4.9,79.2,0.1,0,4.8,49.3,50.7,20.8
Mendon-Upton,7100000,0.5,2.2,4,90.6,0,0,2.7,49.8,50.2,9.4
Methuen,1810000,1.2,3.8,39.4,50.5,0.1,0.1,4.9,52.4,47.6,49.5
