2017-18 Selected Populations Report (District) ,,,,,,,,,,,
District Name,District Code,enroll_first_not_english,%_enroll_first_not_english,enroll_ELL,%_enroll_ELL,enroll_disabilities,%_enroll_disabilities,enroll_highneeds,%_enroll_high_needs,enroll_low_econ,%_enroll_low_econ
Florida,980000,0,0,0,0,23,28.8,38,47.5,22,27.5
Four Rivers Charter Public (District),4130000,3,1.4,0,0,28,12.6,83,37.4,64,28.8
Foxborough,990000,82,3.2,57,2.2,476,18.2,762,29.1,384,14.8
Foxborough Regional Charter (District),4460000,326,22.2,196,13.3,127,8.6,559,38.1,316,21.5
Framingham,1000000,3848,44,1914,21.9,2008,22.4,5114,57,3046,34.9
Francis W. Parker Charter Essential (District),4780000,8,2,0,0,56,14.1,80,20.2,25,6.3
Franklin,1010000,280,5.3,75,1.4,816,15.2,1234,23,489,9.2
Franklin County Regional Vocational Technical,8180000,1,0.2,1,0.2,154,31.6,261,53.6,180,37
Freetown-Lakeville,6650000,32,1.1,16,0.6,441,15.4,822,28.7,489,17.4
Frontier,6700000,16,2.6,10,1.6,130,20.5,213,33.6,126,20.2
Gardner,1030000,178,7.7,86,3.7,534,22.7,1425,60.7,1183,50.9
Gateway,6720000,30,3.6,23,2.8,176,21.1,368,44,261,31.4
Georgetown,1050000,13,0.9,4,0.3,210,14.4,313,21.5,132,9.1
Gill-Montague,6740000,82,8.4,65,6.7,220,22.4,562,57.2,444,45.5
Global Learning Charter Public (District),4960000,134,26.3,44,8.6,74,14.5,322,63.3,261,51.3
Gloucester,1070000,273,9.4,162,5.6,748,25.3,1529,51.7,1063,36.6
Gosnold,1090000,0,0,0,0,0,0,0,0,0,0
Grafton,1100000,84,2.7,35,1.1,568,17.9,839,26.4,371,11.8
Granby,1110000,43,6.1,28,4,110,15.4,256,35.9,177,25.2
Greater Fall River Regional Vocational Technical,8210000,82,5.9,31,2.2,147,10.5,625,44.7,523,37.4
Greater Lawrence Regional Vocational Technical,8230000,676,44.8,187,12.4,310,20.5,1065,70.6,796,52.8
Greater Lowell Regional Vocational Technical,8280000,589,25.9,143,6.3,483,21.3,1382,60.9,1021,45
Greater New Bedford Regional Vocational Technical,8250000,447,20.8,67,3.1,240,11.1,1036,48.1,870,40.4
Greenfield,1140000,146,8.6,89,5.2,301,17.5,968,56.1,831,48.9
Groton-Dunstable,6730000,55,2.3,19,0.8,403,16.5,541,22.2,163,6.7
Hadley,1170000,36,6.8,17,3.2,87,16.1,160,29.7,93,17.6
Halifax,1180000,5,0.8,3,0.5,105,17,197,32,114,19.1
Hamilton-Wenham,6750000,28,1.6,9,0.5,299,16.4,395,21.7,120,6.7
Hampden Charter School of Science East (District),4990000,21,4.3,19,3.9,51,10.4,237,48.3,205,41.8
Hampden-Wilbraham,6800000,84,2.7,27,0.9,461,14.9,800,25.9,465,15.2
Hampshire,6830000,23,3.3,7,1,147,20.6,225,31.5,113,16.1
Hancock,1210000,0,0,0,0,3,7.1,14,33.3,12,28.6
Hanover,1220000,70,2.7,22,0.8,504,19.2,662,25.2,202,7.7
Harvard,1250000,56,5.1,19,1.7,134,12.1,191,17.2,50,4.6
