2018 Advanced Course Completion Report (District)  - White,,,,,,,,,,,
District Name,District Code,#_11_12_student_white,# _advanced_students_white,%_complete_advanced_white,%_ELA_white,%_math_white,%_science_tech_white,%_history_socialscience_white,%_arts_white,%_other_subjects_white,%_completedadvanced_nonwhite
Wachusett,7750000,952,586,61.6,7.5,57.2,7.2,23.3,3.2,2,38.4
Wakefield,3050000,445,320,71.9,34.6,64.3,17.1,23.1,2.2,5,28.1
Walpole,3070000,497,291,58.6,16.7,45.1,27.6,13.7,4.4,7,41.4
Waltham,3080000,308,245,79.5,13.6,76.6,10.4,36.4,2.9,6,20.5
Ware,3090000,120,65,54.2,11.7,47.5,26.7,4.2,0,0,45.8
Wareham,3100000,190,69,36.3,27.9,30,18.4,3.7,0.5,5,63.7
Watertown,3140000,242,166,68.6,10.3,66.5,28.1,11.6,0.8,8,31.4
Wayland,3150000,290,254,87.6,3.8,81.7,12.8,25.9,3.1,19,12.4
Webster,3160000,149,97,65.1,40.9,45,40.9,18.8,0,7,34.9
Wellesley,3170000,564,500,88.7,0,85.1,56.2,16.7,0,14,11.3
West Boylston,3220000,110,75,68.2,14.5,66.4,10.9,10,0,0,31.8
West Bridgewater,3230000,181,181,100,80.1,86.2,83.4,79,42,99,0
West Springfield,3320000,423,191,45.2,27.2,36.6,15.6,18.9,0,1,54.8
Westborough,3210000,386,274,71,5.4,68.7,17.1,24.1,3.4,7,29
Westfield,3250000,713,392,55,19.8,40.8,17.5,18,1.1,6,45
Westford,3260000,616,398,64.6,8.6,56,28.7,21.1,4.4,10,35.4
Weston,3300000,232,147,63.4,0,63.4,14.7,41.4,0,5,36.6
Westport,3310000,152,91,59.9,25.7,46.7,18.4,11.8,5.9,1,40.1
Westwood,3350000,452,316,69.9,22.1,61.9,11.1,40.7,2.2,12,30.1
Weymouth,3360000,778,774,99.5,71.9,90,65.4,44.6,22.9,46,0.5
Whitman-Hanson,7800000,547,361,66,37.5,53.4,21.4,31.8,0,3,34
Whittier Regional Vocational Technical,8850000,482,330,68.5,49.4,68.3,45.6,45.6,14.1,46,31.5
Wilmington,3420000,382,259,67.8,16.2,65.7,20.2,18.3,0.3,2,32.2
Winchendon,3430000,138,67,48.6,30.4,34.1,10.9,21.7,0,0,51.4
Winchester,3440000,474,473,99.8,62,96.6,87.3,67.1,17.9,99,0.2
Winthrop,3460000,206,177,85.9,39.3,84,32.5,19.4,0,0,14.1
Woburn,3470000,508,347,68.3,6.5,58.9,28.5,16.5,0.8,4,31.7
Worcester,3480000,999,617,61.8,17.8,50.8,22.9,18,2.7,8,38.2
State Totals,0,"90,697","63,591",70.1,23.4,61.6,26.4,26.3,3.4,13,29.9
